question,answer
What vectors transmit a pathogen which causes a disease which is treated by moxifloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by clarithromycin?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by doxycycline?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by levofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by vancomycin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by rifampin?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by trimethoprim?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by metronidazole?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by aminoglycoside?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ciprofloxacin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by erythromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by gentamicin?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by fidaxomicin?,"contaminated food or water,fecal-oral exposure"
