document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who are the representatives of PAUL HASTINGS LLP?,"Adam Finerman, Katherine Bell",1,0,1
116,Who are the representatives of CIBC BANK USA?,"Erica Knight, Nicholas Jordan, Nick Jordan",1,0,1
116,Who are the representatives of Morgan Stanley Direct Lending Fund?,"Orit Mizrachi, Venu Rathi",1,0,1
117,"Who are the representatives of HSBC BANK USA, NATIONAL ASSOCIATION?","Chris Burns, Dawn Mace Moore, Michael Snook",1,0,1
103,Who are the representatives of CLAIRE%C2%92S FASHION PROPERTY CORP.?,"Scott Huckins, Stephen Sernett, Stuart Brown",1,0,1
28,"Who are the representatives of Collegium Pharmaceutical, Inc.?","Paul Brannelly, Shirley Kuhlmann",1,0,1
129,Who are the representatives of GHM Acquisition Corp.?,"Jeffrey Glajch, Jeffrey Glajch",1,0,1
115,Who are the representatives of POOL CORPORATION?,"Melanie Housey Hart, Jennifer M. Neil",1,0,1
128,"Who are the representatives of JPMORGAN CHASE BANK, N.A.?","Derek Jensen, Ryan Zimmerman",1,0,1
128,Who are the representatives of Barclays Bank PLC?,"Gill Skala, Leni Preciado, Mario De Luca",1,0,1
15,Who are the representatives of UBS AG?,"Jared Randall, Racquel A.C. Small",1,0,1
11,Who are the representatives of HONEYWELL INTERNATIONAL INC.?,"Carolyn Kee, John J. Tus, Virginia Cosenza",1,0,1
11,"Who are the representatives of BANK OF AMERICA, N.A.?","Craig Malloy, Mukesh Singh",1,0,1
110,"Who are the representatives of UBS AG, Stamford Branch?","Alan Dawson, Alia Qaddumi, Brendan Heneghan, David L. Berger, Houssem Daly, Kenneth Chin, Sydney G. Dennis",1,0,1
110,"Who are the representatives of The Toronto-Dominion Bank, New York Branch?","Annie Dorval, Jason S. York, Josh Rosenthal",1,0,1
110,"Who are the representatives of CITIBANK, N.A.?","Michael Zeller, Nathan Starr, Traci Bankston",1,0,1
110,Who are the representatives of The Huntington National Bank?,"Stephen Hoffman, Yann Pirio",1,0,1
104,Who are the representatives of CONVERGYS CORPORATION?,"Andre S. Valentine, David R. Wiedwald",1,0,1
104,"Who are the representatives of COBANK, ACB?","Diane Emanuel, Ted Koerner",1,0,1
104,Who are the representatives of THE HUNTINGTON NATIONAL BANK?,"Jeffrey P. Fisher, John Di Legge, Mark Irey, Michael Vondriska, Robert Kling, Sherlyn Nelson",1,0,1
104,"Who are the representatives of WELLS FARGO BANK, NATIONAL ASSOCIATION?","Kyle R. Holtz, Lillian Kim",1,0,1
138,Who are the representatives of CAPITAL ONE NATIONAL ASSOCIATION?,"Frederick H. Denecke, Nicolas Zitelli",1,0,1
139,"Who are the representatives of Morgan Stanley Bank, N.A.?","Bertram H. Tang, Savo Bozic, Sheldon Pinto",1,0,1
139,"Who are the representatives of Wells Fargo Bank, N.A.?","Cynthia W. Burton, Kestrina Budina, Linda Tam, Ola Anderssen, Peter C. Rogers",1,0,1
139,"Who are the representatives of Citizens Bank, N.A?","David Clark, David W. Kee, Tanya Crossley",1,0,1
139,"Who are the representatives of Morgan Stanley Senior Funding, Inc.?","Eric Ridgway, Lennie Blakeslee, Michael King, Michael Vondriska, Ronnie Glenn",1,0,1
139,Who are the representatives of Crown Castle International Corp.?,"Jay A. Brown, Shivani Agarwal",1,0,1
111,Who are the representatives of THE BANK OF NOVA SCOTIA?,"Bill Seabrook, Clive Paul Thomas, Doug Kennedy, Duncan Scott, Kevin Chan",1,0,1
111,Who are the representatives of ENSTAR %28US%29 INC?,"Guy Bowker, Jennifer Miu",1,0,1
111,Who are the representatives of HSBC BANK BERMUDA LIMITED?,"Louise Twiss West, Neville Grant",1,0,1
10,"Who are the representatives of JPMorgan Chase Bank, N.A.,?","Kenise Henry Larmond, Michael King, Shane M. Leary",1,0,1
38,Who are the representatives of SUMITOMO MITSUI BANKING CORPORATION?,"Dennis Petito, David Kee, Michael Willis, Ross Levitsky",1,0,1
38,Who are the representatives of UBS AG?,"Houssem Daly, J. Frazell, Diego Medina, Kenneth Chin, Sherwin Brandford, Sriram Chandrasekaran",1,0,1
38,Who are the representatives of THE BANK OF NEW YORK MELLON?,"Ming K. Chu, Hussam S. Alsahlani, Jamie Grubb, Kenneth Phelan, Maureen Maroney, Vanessa Kurbatskiy",1,0,1
38,"Who are the representatives of Morgan Stanley Bank, N.A.?","Donna DeMagistris, Michael King, Nupur Kumar, Rebecca Kratz, Stefan Dickenmann",1,0,1
12,"Who are the representatives of WALGREENS BOOTS ALLIANCE, INC.?","Aidan Clare, Gr%C3%A1inne Kelly, John Devlin, Marco Pagni%3B, Sara La Berg",1,0,1
12,"Who are the representatives of INTESA SANPAOLO S.P.A., NEW YORK BRANCH,?","Francesco Di Mario, Lorenzo Rodino",1,0,1
12,"Who are the representatives of UNICREDIT BANK AG, NEW YORK BRANCH,?","J. Casey Cosgrove, Jack Lonker, Luca Balestra, Thilo Huber, Thomas Foley",1,0,1
12,"Who are the representatives of THE TORONTO-DOMINION BANK, NEW YORK BRANCH,?","Linh Dang, Tracy Rahn",1,0,1
112,"Who are the representatives of JPMorgan Chase Bank, N.A.?","Stacy Benham, Yuvette Owens",1,0,1
106,Who are the representatives of ROYAL BANK OF CANADA?,"Ann Hurley, Robert Ehudin, Thomas Casey",1,0,1
106,Who are the representatives of BARCLAYS BANK PLC?,"Kirkwood Roland, Michael Getz, Vanessa A. Kurbatskiy",1,0,1
106,"Who are the representatives of CITIBANK, N.A.?","Lana Gifas, Marcus M. Tarkington",1,0,1
60,"Who are the representatives of Capital One, National Association?","Bernadette Collins, Eric H. Williams, Joshua Dearmon, Michael S. Barnett",1,0,1
60,Who are the representatives of Bank of the West?,"Caroline Smith, Harry Yergey, Michael Maguire, Patrick Hartweger",1,0,1
