document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What companies are the grantor in the agreement?,"constellation dco albany power holdings llc, exelon avsr holding llc, exgen renewables iv llc, solgen holding llc",1,0,1
102,What companies are the borrowers in the agreement?,"digirad corporation, digirad imaging solutions inc, dms health technologies inc, dms imaging inc, md office solutions, project rendezvous holding corporation, telerhythmics llc",1,0,1
117,What companies are the joint bookrunner in the agreement?,"bofa securities inc, jpmorgan chase bank na",1,0,1
117,What companies are the bookrunner in the agreement?,"bofa securities inc, jpmorgan chase bank na",1,0,1
117,What companies are the arranger in the agreement?,"jpmorgan chase bank na, wells fargo securities llc",1,0,1
117,What companies are the joint lead arranger in the agreement?,"jpmorgan chase bank na, wells fargo securities llc",1,0,1
117,What companies are the syndication agent in the agreement?,"bank of america na, jpmorgan chase bank na, wells fargo bank national association",1,0,1
117,What companies are the agent in the agreement?,"bank of america na, jpmorgan chase bank na, wells fargo bank national association",1,0,1
117,What companies are the lender in the agreement?,"bank of america na, hsbc bank usa national association, jpmorgan chase bank na, royal bank of canada, wells fargo bank national association",1,0,1
103,What companies are the collateral agent in the agreement?,"botticelli llc, cortland capital market services llc",1,0,1
103,What companies are the agent in the agreement?,"botticelli llc, cortland capital market services llc",1,0,1
103,What companies are the administrative agent in the agreement?,"botticelli llc, botticelli llc c o angelo gordonand co lp, cortland capital market services llc",1,0,1
103,What companies are the guarantor in the agreement?,"claires accessories spain sl, claires accessories uk ltd, claires european distribution limited, claires european services limited, claires fashion property corp, claires france sas, claires holding gmbh, claires holdings sa rl, claires luxembourg sa rl, claires switzerland gmbh, csi luxembourg sa rl",1,0,1
103,What companies are the borrower in the agreement?,"claires germany gmbh, claires gibraltar intermediate holdings limited",1,0,1
16,What companies are the term lender in the agreement?,"crystal financial llc, crystal financial spv llc",1,0,1
16,What companies are the lender in the agreement?,"crystal financial llc, crystal financial spv llc",1,0,1
16,What companies are the borrower in the agreement?,"standard diversified opportunities inc, standard outdoor llc, standard outdoor southeast i llc, standard outdoor southeast ii llc, standard outdoor southwest llc",1,0,1
28,What companies are the collateral agent in the agreement?,"akin gump strauss hauer and feld llp, biopharma credit plc, pharmakon advisors lp",1,0,1
28,What companies are the agent in the agreement?,"akin gump strauss hauer and feld llp, biopharma credit plc, pharmakon advisors lp",1,0,1
28,What companies are the lender in the agreement?,"akin gump strauss hauer and feld llp, biopharma credit investments v master lp, biopharma credit plc, pharmakon advisors lp",1,0,1
28,What companies are the borrower in the agreement?,"collegium pharmaceutical inc, pepper hamilton llp",1,0,1
115,What companies are the guarantors in the agreement?,"alliance trading inc, cypress inc, horizon distributors inc, pool development llc, poolfx supply llc, scp distributors llc, scp international inc, splash holdings inc, superior pool products llc",1,0,1
101,What companies are the lender in the agreement?,"legacytexas bank, texas capital bank national association",1,0,1
100,What companies are the agent in the agreement?,"bank of the west fifth third bank, jpmorgan chase bank na, mufg union bank na, suntrust bank, wells fargo bank national association",1,0,1
100,What companies are the administrative agent in the agreement?,"bank of the west fifth third bank, jpmorgan chase bank na, mufg union bank na, suntrust bank, wells fargo bank national association",1,0,1
100,What companies are the swingline lender in the agreement?,"bank of the west, bbva compass, citizens bank national association, comerica bank, east west bank, fifth third bank, hsbc bank usa, jpmorgan chase bank, mufg union bank, suntrust bank, wells fargo bank national association",1,0,1
100,What companies are the issuing lender in the agreement?,"bank of the west, bbva compass, citizens bank national association, comerica bank, east west bank, fifth third bank, hsbc bank usa, jpmorgan chase bank, mufg union bank, suntrust bank, wells fargo bank national association",1,0,1
100,What companies are the lender in the agreement?,"bank of the west, bbva compass, citizens bank national association, comerica bank, east west bank, fifth third bank, hsbc bank usa, jpmorgan chase bank, mufg union bank, suntrust bank, wells fargo bank national association",1,0,1
114,What companies are the guarantors in the agreement?,"saleslink mexico holding corp, sol holdings inc",1,0,1
128,What companies are the arranger in the agreement?,"bofa securities inc, jpmorgan chase bank na",1,0,1
128,What companies are the joint lead arranger in the agreement?,"bofa securities inc, jpmorgan chase bank na",1,0,1
128,What companies are the bookrunners in the agreement?,"bofa securities inc, jpmorgan chase bank na",1,0,1
128,What companies are the joint bookrunners in the agreement?,"bofa securities inc, jpmorgan chase bank na",1,0,1
128,What companies are the syndication agent in the agreement?,"bank of america na, jpmorgan chase bank na",1,0,1
128,What companies are the agent in the agreement?,"bank of america na, jpmorgan chase bank na",1,0,1
29,What companies are the guarantors in the agreement?,"advantage payroll services inc, oasis advisory services inc, oasis ahr pl llc, oasis employment services inc, oasis outsourcing contract iii inc, oasis outsourcing tx inc, paychex administrative services llc, paychex business solutions llc, paychex holdings llc, paychex management llc, paychex north america inc, paychex of new york llc, paychex peo i llc, paychex peo ii llc, paychex peo iii llc, paychex peo iv llc, paychex peo ix llc, paychex peo v llc, paychex peo vi llc, paychex peo vii llc, paychex peo viii llc, paychex peo x llc, pbs of america llc, pbs of central florida llc, wri ii inc",1,0,1
29,What companies are the borrower in the agreement?,"nixon peabody llp, paychex advance llc, paychex inc",1,0,1
29,What companies are the parent borrower in the agreement?,"paychex advance llc, paychex inc",1,0,1
