document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the representative of DIGIRAD CORPORATION?,Jeffry R. Keyes,1,0,0
102,"Who is the representative of WELLS FARGO BANK, NATIONAL ASSOCIATION?",Kathy R. Plisko,1,0,0
116,Who is the representative of MORGAN STANLEY DIRECT LENDING FUND?,Venugopal Rathi,1,0,0
117,"Who is the representative of COLUMBIA SPORTSWEAR COMPANY,?",Jim A. Swanson,1,0,0
117,Who is the representative of ROYAL BANK OF CANADA?,Kirsten Jakobsen,1,0,0
117,"Who is the representative of JPMORGAN CHASE BANK, N.A.?",Lynn Braun,1,0,0
103,"Who is the representative of Angelo, Gordon %26 Co., L.P.?",Gavin Baiera,1,0,0
103,Who is the representative of CORTLAND CAPITAL MARKET SERVICES LLC?,Matthew Trybula,1,0,0
103,Who is the representative of CLAIRE%C2%92S LUXEMBOURG S.A R.L.?,Paul A. Barker,1,0,0
16,Who is the representative of CRYSTAL FINANCIAL LLC?,Christopher A. Arnold,1,0,0
16,Who is the representative of STANDARD DIVERSIFIED OPPORTUNITIES INC.?,Ian W. Estus,1,0,0
14,"Who is the representative of PACIFIC DRILLING S.A.,?",James Harris,1,0,0
14,"Who is the representative of AG ENERGY FUNDING, LLC?",Todd Dittmann,1,0,0
28,Who is the representative of Pepper Hamilton LLP?,Jen Porter,1,0,0
28,"Who is the representative of COLLEGIUM PHARMACEUTICAL, INC.?",Joseph Ciaffoni,1,0,0
28,Who is the representative of AKIN GUMP STRAUSS HAUER %26 FELD LLP?,Geoffrey E. Secol,1,0,0
28,Who is the representative of Akin Gump Strauss Hauer %26 Feld LLP?,Geoffrey E. Secol,1,0,0
28,Who is the representative of BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP?,Pedro Gonzalez de Cosio,1,0,0
28,Who is the representative of PHARMAKON ADVISORS LP?,Pedro Gonzalez de Cosio,1,0,0
28,Who is the representative of Pharmakon Advisors LP?,Pedro Gonzalez de Cosio,1,0,0
