document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the Authorized Signatory of the company which is the Runner in the agreement?,Kathy R. Plisko,2,1,0
102,Who is the Authorized Signatory of the company which is the Book Runner in the agreement?,Kathy R. Plisko,2,1,0
102,Who is the Authorized Signatory of the company which is the Agent in the agreement?,Kathy R. Plisko,2,1,0
102,Who is the Authorized Signatory of the company which is the Arranger in the agreement?,Kathy R. Plisko,2,1,0
102,Who is the Authorized Signatory of the company which is the Lender in the agreement?,Kathy R. Plisko,2,1,0
116,Who is the Chief Financial Officer of the company which is the The Company in the agreement?,Venugopal Rathi,2,1,0
116,"Who is the Managing Director of the company which is the Agent, in the agreement?",Nicholas Jordan,2,1,0
116,Who is the Managing Director of the company which is the Agent in the agreement?,Nicholas Jordan,2,1,0
116,Who is the Managing Director of the company which is the Arranger in the agreement?,Nicholas Jordan,2,1,0
116,Who is the Managing Director of the company which is the Lender in the agreement?,Nicholas Jordan,2,1,0
116,Who is the Managing Director of the company which is the Administrative Agent in the agreement?,Nicholas Jordan,2,1,0
117,Who is the Executive Director of the company which is the Administrative Agent in the agreement?,Lynn Braun,2,1,0
14,Who is the Authorized Person of the company which is the Lender in the agreement?,Todd Dittmann,2,1,0
14,Who is the Chief Financial Officer of the company which is the Borrower in the agreement?,James Harris,2,1,0
129,Who is the Authorized Officer of the company which is the Issuing Bank in the agreement?,Elizabeth A. Jordan,2,1,0
129,Who is the Authorized Officer of the company which is the Agent in the agreement?,Elizabeth A. Jordan,2,1,0
115,Who is the Senior Vice President of the company which is the Lender in the agreement?,Adam Rose,2,1,0
101,Who is the CEO of the company which is the Borrower in the agreement?,Stanton M. Nelson,2,1,0
101,Who is the Senior Vice President of the company which is the Runner in the agreement?,Deborah T. Purvin,2,1,0
101,Who is the Senior Vice President of the company which is the L%2Fc Issuer in the agreement?,Deborah T. Purvin,2,1,0
101,Who is the Senior Vice President of the company which is the Agent in the agreement?,Deborah T. Purvin,2,1,0
101,Who is the Senior Vice President of the company which is the Arranger in the agreement?,Deborah T. Purvin,2,1,0
15,Who is the CEO of the company which is the Borrower in the agreement?,Shawn Matthews,2,1,0
11,"Who is the Treasurer of the company which is the Borrower, in the agreement?",John J. Tus,2,1,0
105,Who is the Director of the company which is the Lender in the agreement?,Xu Peixin,2,1,0
38,Who is the Executive Director of the company which is the Agent in the agreement?,Dave Katz,2,1,0
107,Who is the Director of the company which is the Lender in the agreement?,Ritam Bhalla,2,1,0
107,Who is the Director of the company which is the Agent in the agreement?,Ritam Bhalla,2,1,0
107,Who is the Director of the company which is the Arranger in the agreement?,Ritam Bhalla,2,1,0
112,Who is the Authorized Officer of the company which is the Administrative Agent in the agreement?,Amy U. Lessner,2,1,0
74,Who is the Executive Vice President and Secretary of the company which is the Borrower in the agreement?,Christopher T. McKee,2,1,0
74,Who is the Senior Vice President of the company which is the Lc Issuer in the agreement?,Jeff Kalinowski,2,1,0
74,Who is the Senior Vice President of the company which is the Administrative Agent in the agreement?,Jeff Kalinowski,2,1,0
149,Who is the Managing Director of the company which is the Collateral Agent in the agreement?,Michelle Handy,2,1,0
149,Who is the Managing Director of the company which is the Lead Arranger in the agreement?,Michelle Handy,2,1,0
149,Who is the Managing Director of the company which is the Administrative Agent in the agreement?,Michelle Handy,2,1,0
161,Who is the Chief Financial Officer of the company which is the Borrower in the agreement?,Raymond J. Pacini,2,1,0
148,Who is the Chief Financial Officer of the company which is the Borrowers in the agreement?,Kevin Berryman,2,1,0
75,Who is the Chief Financial Officer of the company which is the Borrower in the agreement?,Karl Johnsen,2,1,0
75,Who is the Vice President of the company which is the Administrative Agent in the agreement?,Justin B. Kelley,2,1,0
61,Who is the Director of the company which is the Agent in the agreement?,Jim Cahow,2,1,0
77,Who is the Executive Director of the company which is the Issuing Bank in the agreement?,Hector J. Varona,2,1,0
77,Who is the Executive Director of the company which is the Administrative Agent in the agreement?,Hector J. Varona,2,1,0
88,Who is the Director of the company which is the Issuing Bank in the agreement?,Westley White,2,1,0
88,Who is the Director of the company which is the Lender in the agreement?,Westley White,2,1,0
88,Who is the Director of the company which is the Agent in the agreement?,Westley White,2,1,0
88,Who is the Director of the company which is the Swing Line Lender in the agreement?,Westley White,2,1,0
163,Who is the Chief Financial Officer of the company which is the Borrower in the agreement?,Brian M. Carolan,2,1,0
163,Who is the Vice President of the company which is the Issuing Bank in the agreement?,David Tepper,2,1,0
163,Who is the Vice President of the company which is the Lender in the agreement?,David Tepper,2,1,0
163,Who is the Vice President of the company which is the Swingline Lender in the agreement?,David Tepper,2,1,0
163,Who is the Vice President of the company which is the Administrative Agent in the agreement?,David Tepper,2,1,0
89,Who is the Managing Director of the company which is the Administrative Agent in the agreement?,Sabir Hashmy,2,1,0
62,Who is the Managing Director of the company which is the Bookrunner in the agreement?,Pradeep Mehra,2,1,0
76,Who is the Authorized Signatory of the company which is the Administrative Agent in the agreement?,Jonathon Rauen,2,1,0
76,Who is the Authorized Signatory of the company which is the Collateral Agent in the agreement?,Jonathon Rauen,2,1,0
72,Who is the Vice President of the company which is the Administrative Agent in the agreement?,Carolyn Kee,2,1,0
66,Who is the Authorized Signer of the company which is the Revolver in the agreement?,James Riley,2,1,0
167,"Who is the Senior Vice President of the company which is the Lender, in the agreement?",Shelley A. McGregor,2,1,0
67,Who is the CEO of the company which is the Borrower in the agreement?,Dennis M. Lanfear,2,1,0
67,Who is the CEO of the company which is the Credit Party in the agreement?,Dennis M. Lanfear,2,1,0
73,Who is the Chief Financial Officer of the company which is the Holding Company in the agreement?,Thomas E. Carter,2,1,0
65,Who is the Director of the company which is the Agent in the agreement?,Sean McWhinnie,2,1,0
65,Who is the Director of the company which is the Issuer in the agreement?,Sean McWhinnie,2,1,0
65,Who is the Chief Executive Officer of the company which is the Borrower in the agreement?,Mario C. Kontomerkos,2,1,0
71,Who is the Vice President of the company which is the Administrative Agent in the agreement?,Henry Pennell,2,1,0
71,Who is the Sr. Vice President of the company which is the Bookrunner in the agreement?,Ryan Maples,2,1,0
71,Who is the Sr. Vice President of the company which is the Arranger in the agreement?,Ryan Maples,2,1,0
164,Who is the CFO of the company which is the The Lenders in the agreement?,Kevin Williams,2,1,0
158,Who is the SVP of the company which is the Lender in the agreement?,Adam Rose,2,1,0
159,Who is the Authorized Signatory of the company which is the Lender in the agreement?,James Greenfield,2,1,0
159,Who is the Authorized Signatory of the company which is the Administrative Agent in the agreement?,James Greenfield,2,1,0
159,Who is the Vice President of the company which is the Collateral Agent in the agreement?,Jon C. Warn,2,1,0
159,Who is the Vice President of the company which is the Securities Intermediary in the agreement?,Jon C. Warn,2,1,0
159,Who is the Vice President of the company which is the Collateral Administrator in the agreement?,Jon C. Warn,2,1,0
165,Who is the Executive Director of the company which is the Syndication Agent in the agreement?,Tony Young,2,1,0
70,Who is the Chief Financial Officer of the company which is the Parent in the agreement?,Richard Butt,2,1,0
70,Who is the VICE PRESIDENT of the company which is the Bookrunner in the agreement?,ERIC COHEN,2,1,0
70,Who is the VICE PRESIDENT of the company which is the Administrative Agent in the agreement?,ERIC COHEN,2,1,0
70,Who is the VICE PRESIDENT of the company which is the Arranger in the agreement?,ERIC COHEN,2,1,0
64,Who is the Chief Capital Officer of the company which is the Borrower in the agreement?,Geoff Kott,2,1,0
58,Who is the Managing Partner of the company which is the Agent in the agreement?,Clarke B. Futch,2,1,0
7,Who is the Manager of the company which is the L%2Fc Issuer in the agreement?,George McKean,2,1,0
7,Who is the Manager of the company which is the Lender in the agreement?,George McKean,2,1,0
7,Who is the Manager of the company which is the Administrative Agent in the agreement?,George McKean,2,1,0
55,Who is the Banking Officer of the company which is the Agent in the agreement?,Cora Holland-Koller,2,1,0
168,Who is the Vice President of the company which is the Agent in the agreement?,Carolyn A. Kee,2,1,0
140,Who is the Authorized Signatory of the company which is the Lender in the agreement?,William Graham,2,1,0
140,Who is the Authorized Signatory of the company which is the Administrative Agent in the agreement?,William Graham,2,1,0
140,Who is the Authorized Signatory of the company which is the Arranger in the agreement?,William Graham,2,1,0
154,Who is the Authorized Officer of the company which is the Lender in the agreement?,Erica Cross,2,1,0
154,Who is the Authorized Officer of the company which is the Sole Lead Arranger in the agreement?,Erica Cross,2,1,0
154,Who is the Authorized Officer of the company which is the Bookrunner in the agreement?,Erica Cross,2,1,0
155,Who is the Authorized Signatory of the company which is the Lenders in the agreement?,Harry Chung,2,1,0
83,Who is the Credit Executive of the company which is the L%2Fc Issuer in the agreement?,Keith Winzenried,2,1,0
68,Who is the Chief Executive Officer of the company which is the Borrower in the agreement?,George J. Carter,2,1,0
6,Who is the Authorized Agent of the company which is the Borrower in the agreement?,J. Shea Morgenroth,2,1,0
54,Who is the Senior Vice President of the company which is the Borrower in the agreement?,Jonathan Olsen,2,1,0
40,Who is the Executive Director of the company which is the Issuing Bank in the agreement?,Hector J. Varona,2,1,0
4,Who is the Authorized Signatory of the company which is the Swing Line Lender in the agreement?,Robert Ehudin,2,1,0
4,Who is the Authorized Signatory of the company which is the Administrative Agent in the agreement?,Robert Ehudin,2,1,0
4,Who is the Authorized Signatory of the company which is the L%2Fc Issuer in the agreement?,Robert Ehudin,2,1,0
95,Who is the Chief Operating Officer of the company which is the Credit Parties in the agreement?,Daniel J. Booth,2,1,0
142,Who is the Executive Director of the company which is the Agent in the agreement?,Juan J. Javellana,2,1,0
156,Who is the Executive Director of the company which is the Lende in the agreement?,Timothy Lee,2,1,0
57,Who is the Senior Vice President of the company which is the Holdings in the agreement?,Scott A. Richardson,2,1,0
1,Who is the Authorized Signatory of the company which is the Administrative Agent in the agreement?,Alexandra M. Knights,2,1,0
1,Who is the Authorized Signatory of the company which is the Lenders in the agreement?,Alexandra M. Knights,2,1,0
1,Who is the Authorized Signatory of the company which is the Arranger in the agreement?,Alexandra M. Knights,2,1,0
1,Who is the Authorized Signatory of the company which is the Lender in the agreement?,Alexandra M. Knights,2,1,0
1,Who is the Authorized Signatory of the company which is the Bookrunner in the agreement?,Alexandra M. Knights,2,1,0
53,Who is the Senior Vice President of the company which is the L%2Fc Issuer in the agreement?,Charles M. Joye III,2,1,0
53,Who is the Senior Vice President of the company which is the Agent in the agreement?,Charles M. Joye III,2,1,0
53,Who is the Senior Vice President of the company which is the Lender in the agreement?,Charles M. Joye III,2,1,0
47,Who is the Chief Financial Officer and Treasurer of the company which is the Borrower in the agreement?,James Edgemond,2,1,0
47,"Who is the Managing Director of the company which is the Administrative Agent, in the agreement?",Kirk Tesch,2,1,0
85,Who is the Senior Vice President of the company which is the Lender in the agreement?,Kenneth Butler,2,1,0
85,Who is the Senior Vice President of the company which is the Agent in the agreement?,Kenneth Butler,2,1,0
147,Who is the Executive Director of the company which is the Agent in the agreement?,Dawn Lee Lum,2,1,0
153,Who is the Authorized Signatory of the company which is the Agent in the agreement?,Grace Mahood,2,1,0
153,Who is the Executive Vice President and Chief Financial Officer of the company which is the Borrower in the agreement?,Kenneth Gayron,2,1,0
46,Who is the Senior Vice President of the company which is the Agent in the agreement?,Gregory R. Russano,2,1,0
78,Who is the CLO %2F EVP of the company which is the Administrative Agent in the agreement?,Phil Thomas,2,1,0
78,Who is the Chief Executive Officer of the company which is the Borrower in the agreement?,Abraham Mirman,2,1,0
44,Who is the Vice President of the company which is the L%2Fc Issuer in the agreement?,Maria A. McClain,2,1,0
44,Who is the Vice President of the company which is the Administrative Agent in the agreement?,Maria A. McClain,2,1,0
50,Who is the Chief Financial Officer of the company which is the Borrower in the agreement?,R. Bryan Riggsbee,2,1,0
145,Who is the Associate Counsel of the company which is the Collateral Agent in the agreement?,Emily Ergang Pappas,2,1,0
145,"Who is the Associate Counsel of the company which is the Collateral Agent, in the agreement?",Emily Ergang Pappas,2,1,0
145,Who is the Associate Counsel of the company which is the Administrative Agent in the agreement?,Emily Ergang Pappas,2,1,0
