document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,What company is the Bookrunner but not the Arranger in the agreement?,"BOFA SECURITIES, INC.",2,1,0
128,What company is the joint lead arranger but not the Agent in the agreement?,"BofA Securities, Inc.",2,1,0
128,What company is the joint bookrunners but not the Agent in the agreement?,"BofA Securities, Inc.",2,1,0
110,What company is the Arrangers but not the Bookrunners in the agreement?,BARCLAYS BANK PLC,2,1,0
138,What company is the Agent but not the Lender in the agreement?,"U.S. BANK, NATIONAL ASSOCIATION",2,1,0
111,What company is the Guarantor but not the Guarantors in the agreement?,KENMARE HOLDINGS LTD,2,1,0
111,What company is the Agent but not the Administrative Agent in the agreement?,SUNTRUST BANK,2,1,0
107,What company is the Agent but not the Arrangers in the agreement?,BARCLAYS BANK PLC,2,1,0
107,What company is the Agent but not the administrative agent in the agreement?,BARCLAYS BANK PLC,2,1,0
107,What company is the Agent but not the collateral agent in the agreement?,BARCLAYS BANK PLC,2,1,0
107,What company is the Agent but not the documentation agent in the agreement?,BARCLAYS BANK PLC,2,1,0
107,What company is the Arrangers but not the administrative agent in the agreement?,RBC Capital Markets,2,1,0
107,What company is the Arrangers but not the collateral agent in the agreement?,RBC Capital Markets,2,1,0
107,What company is the Arrangers but not the documentation agent in the agreement?,RBC Capital Markets,2,1,0
112,What company is the Agent but not the Arrangers in the agreement?,"BANK OF AMERICA, N.A.",2,1,0
112,What company is the Agent but not the Bookrunners in the agreement?,"BANK OF AMERICA, N.A.",2,1,0
112,What company is the Arrangers but not the Lender in the agreement?,"MERRILL LYNCH, PIERCE, FENNER %26 SMITH INCORPORATED",2,1,0
112,What company is the Bookrunners but not the Lender in the agreement?,"MERRILL LYNCH, PIERCE, FENNER %26 SMITH INCORPORATED",2,1,0
106,What company is the Arranger but not the Bookrunners in the agreement?,"UBS SECURITIES LLC,",2,1,0
106,What company is the Arrangers but not the Bookrunner in the agreement?,UBS SECURITIES LLC,2,1,0
106,What company is the Bookrunner but not the Bookrunners in the agreement?,"UBS SECURITIES LLC,",2,1,0
106,What company is the Trustee but not the Agent in the agreement?,"Credit Suisse AG, Cayman Islands Branch",2,1,0
60,What company is the arrangers but not the joint bookrunners in the agreement?,"Mizuho Bank, Ltd.",2,1,0
161,What company is the CO-SYNDICATION AGENTS but not the JOINT-LEAD ARRANGERS in the agreement?,TRUIST BANK,2,1,0
161,What company is the CO-SYNDICATION AGENTS but not the Lender in the agreement?,BMO CAPITAL MARKETS,2,1,0
160,What company is the Joint Bookrunners but not the Joint Lead Arrangers in the agreement?,JPMORGAN CHASE BANK N.A.,2,1,0
148,What company is the Joint Lead Arrangers but not the Joint Bookrunners in the agreement?,BNP PARIBAS SECURITIES CORP,2,1,0
72,What company is the Syndication Agents but not the Arrangers in the agreement?,"WELLS FARGO BANK, NATIONAL ASSOCIATION",2,1,0
72,What company is the Syndication Agents but not the Book Runners in the agreement?,"WELLS FARGO BANK, NATIONAL ASSOCIATION",2,1,0
66,What company is the Agents but not the arrangers in the agreement?,KeyBanc Capital Markets,2,1,0
66,What company is the Agents but not the joint bookrunners in the agreement?,KeyBanc Capital Markets,2,1,0
98,What company is the Agent but not the L%2FC Issuer in the agreement?,"JPMORGAN CHASE BANK, N.A.",2,1,0
98,What company is the Agent but not the Lender in the agreement?,"JPMORGAN CHASE BANK, N.A.",2,1,0
166,What company is the Lead Arrangers but not the Lender in the agreement?,ICICI BANK LIMITED,2,1,0
41,What company is the LC Issuer but not the Agent in the agreement?,BMO HARRIS BANK,2,1,0
41,What company is the LC Issuer but not the Lender in the agreement?,BMO HARRIS BANK,2,1,0
168,What company is the Book Runners but not the Administrative Agent in the agreement?,"BOFA SECURITIES, INC.",2,1,0
168,What company is the Lead Arrangers but not the Administrative Agent in the agreement?,"BOFA SECURITIES, INC.",2,1,0
96,What company is the Agent but not the Arrangers in the agreement?,"BOKF, NA DBA BANK OF ALBUQUERQUE",2,1,0
96,What company is the Agent but not the Book Managers in the agreement?,"BOKF, NA DBA BANK OF ALBUQUERQUE",2,1,0
96,What company is the Agent but not the LENDERS in the agreement?,"BOKF, NA dba BANK OF ALBUQUERQUE",2,1,0
96,What company is the Arrangers but not the LENDERS in the agreement?,"BOKF, NA dba BANK OF ALBUQUERQUE",2,1,0
96,What company is the Book Managers but not the LENDERS in the agreement?,"BOKF, NA dba BANK OF ALBUQUERQUE",2,1,0
169,What company is the Agent but not the Arranger in the agreement?,"BANK OF AMERICA, N.A.",2,1,0
156,What company is the Lender but not the Issuing Bank in the agreement?,"Deutsche Bank AG, New York Branch",2,1,0
5,What company is the Lead Arrangers but not the Documentation Agents in the agreement?,WELLS FARGO SECURITIES,2,1,0
47,What company is the Joint Bookrunners but not the Joint Lead Arrangers in the agreement?,"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD.",2,1,0
152,What company is the BORROWER but not the Borrower in the agreement?,"MVP REALTY ADVISORS, LLC",2,1,0
84,What company is the Lender but not the Administrative Agent in the agreement?,Taiwan Cooperative Bank,2,1,0
147,What company is the L%2FC Issuer but not the Lender in the agreement?,HSBC BANK USA,2,1,0
153,What company is the Administrative Agent but not the Issuing Bank in the agreement?,"AVID TECHNOLOGY, INC",2,1,0
153,What company is the Administrative Agent but not the Lender in the agreement?,"AVID TECHNOLOGY, INC",2,1,0
52,What company is the Agent but not the Agents in the agreement?,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",2,1,0
151,What company is the Agent but not the Joint Bookrunners in the agreement?,"MIZUHOBANK, LTD.",2,1,0
151,What company is the Agent but not the L%2FC Issuer in the agreement?,"MIZUHOBANK, LTD.",2,1,0
151,What company is the Joint Bookrunners but not the Joint Lead Arrangers in the agreement?,BARCLAYS BANK PLC,2,1,0
151,What company is the Joint Bookrunners but not the L%2FC Issuer in the agreement?,"MIZUHO BANK, LTD.,",2,1,0
151,What company is the Joint Lead Arrangers but not the L%2FC Issuer in the agreement?,"MIZUHO BANK, LTD.,",2,1,0
92,What company is the Bookrunner but not the Administrative Agent in the agreement?,BUSINESS DEVELOPMENT CORPORATION OF AMERICA,2,1,0
92,What company is the Bookrunner but not the Arranger in the agreement?,BUSINESS DEVELOPMENT CORPORATION OF AMERICA,2,1,0
92,What company is the Bookrunner but not the Lender in the agreement?,BUSINESS DEVELOPMENT CORPORATION OF AMERICA,2,1,0
3,What company is the Syndication Agent but not the Lender in the agreement?,"Wells Fargo Bank, National Association",2,1,0
22,What company is the Arranger but not the Book Runner in the agreement?,"JPMORGAN CHASE BANK, N.A.",2,1,0
22,What company is the Arranger but not the Lender in the agreement?,"WELLS FARGO BANK, NATIONAL ASSOCIATION",2,1,0
