document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,"What company is the Grantor and Pledgor but not the CollateralWilmington Trust, National AssociationAgent in the agreement?","ExGen Renewables IV, LLC",1,3,0
17,What company is the Arranger and Bookrunner but not the Collateral Agent in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,What company is the Arranger and Bookrunner but not the Depositary Bank in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,What company is the Arranger and Bookrunner but not the Pledgor in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Arranger and Bookrunner but not the CollateralWilmington Trust, National AssociationAgent in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,What company is the Arranger and Documentation Agent but not the Collateral Agent in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,What company is the Arranger and Documentation Agent but not the Depositary Bank in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,What company is the Arranger and Documentation Agent but not the Pledgor in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Arranger and Documentation Agent but not the CollateralWilmington Trust, National AssociationAgent in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Arranger and Syndication Agent, but not the Collateral Agent in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Arranger and Syndication Agent, but not the Depositary Bank in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Arranger and Syndication Agent, but not the Pledgor in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Arranger and Syndication Agent, but not the CollateralWilmington Trust, National AssociationAgent in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,What company is the Bookrunner and Documentation Agent but not the Collateral Agent in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,What company is the Bookrunner and Documentation Agent but not the Depositary Bank in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,What company is the Bookrunner and Documentation Agent but not the Pledgor in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Bookrunner and Documentation Agent but not the CollateralWilmington Trust, National AssociationAgent in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Bookrunner and Syndication Agent, but not the Collateral Agent in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Bookrunner and Syndication Agent, but not the Depositary Bank in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Bookrunner and Syndication Agent, but not the Pledgor in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Bookrunner and Syndication Agent, but not the CollateralWilmington Trust, National AssociationAgent in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Documentation Agent and Syndication Agent, but not the Collateral Agent in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
17,"What company is the Documentation Agent and Syndication Agent, but not the Depositary Bank in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,3,0
