document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
115,"Who are the Assistant Secretary, Chief Accounting Officer, Chief Legal Officer, President, Treasurer, and Vice President of the company which is the Borrower in the agreement?","Jennifer M. Neil, Melanie Housey Hart",3,0,1
10,"Who are the Authorized Signatory and Manager, Agency of the company which is the Administrative Agent in the agreement?","Alex Figueroa, Susan Khokher",3,0,1
10,"Who are the Authorized Signatory and Manager, Agency of the company which is the Issuing Bank in the agreement?","Alex Figueroa, Susan Khokher",3,0,1
12,"Who are the Executive Vice President,, General Counsel, Global Chief Administrative Officer, Global Treasurer, Senior Manager, Global Treasury, and Senior Vice President of the company which is the Borrower in the agreement?","Aidan Clare, Marco Pagni%3B, Sara La Berg",3,0,1
48,"Who are the Corporate Secretary, Treasurer, Vice President %E2%80%93 Law %26 Assistant, and Vice President %E2%80%93 US Law of the company which is the Borrower in the agreement?","Chris Kaitson, Jonathan Rose",3,0,1
166,"Who are the Head CRC, Legal Counsel, and Manager, CRC of the company which is the Collateral Agent in the agreement?","James Perkins, Simon Williams, Valdeep Singh",3,0,1
166,"Who are the Head CRC, Legal Counsel, and Manager, CRC of the company which is the Administrative Agent in the agreement?","James Perkins, Simon Williams, Valdeep Singh",3,0,1
165,"Who are the Corporate Secretary, General Counsel, Investor Relations Officer, Treasurer, and Vice President of the company which is the Lenders in the agreement?","Colleen Batcheler, Johan Nystedt",3,0,1
165,"Who are the Corporate Secretary, General Counsel, Investor Relations Officer, Treasurer, and Vice President of the company which is the Company in the agreement?","Colleen Batcheler, Johan Nystedt",3,0,1
97,Who are the Chief Counsel- %09 %09HFS Real Estate and Managing Director of the company which is the Administrative  Agent in the agreement?,"Diana Pennington, Jeffrey M. Muchmore",3,0,1
157,Who are the Owner of Record and Vice President of the company which is the SENIOR LENDER in the agreement?,"Jason Purser, Nicholas Nadolsky",3,0,1
142,"Who are the Treasurer, Vice-President, Finance, and Vice-President, Law of the company which is the Guarantor in the agreement?","Christine R. Johnston, Joel E. Hunter",3,0,1
84,Who are the Manager and Servicing Officer of the company which is the ADMINISTRATIVE AGENT in the agreement?,"Audrey Pishnery, Elsa O%C2%92Brien",3,0,1
84,Who are the Manager and Servicing Officer of the company which is the L%2FC ISSUER%3A in the agreement?,"Audrey Pishnery, Elsa O%C2%92Brien",3,0,1
52,"Who are the Executive Vice President, Treasurer, and Vice President of Tax of the company which is the Borrower in the agreement?","Charles R. Conradi, Laura Stein",3,0,1
3,Who are the AVP and Vice President of the company which is the Administrative Agent in the agreement?,"Cindy Jordan, Kyle Pearson",3,0,1
45,"Who are the Client Services Representative, Portfolio Manager, and Senior Vice President of the company which is the Lender in the agreement?","Cynthia M. Olson,, Eric Niedbalski, Mark R. Cousineau",3,0,1
35,Who are the Chief Financial Officer and General Counsel of the company which is the Borrower in the agreement?,"John P. Rielly, Timothy B. Goodell",3,0,1
130,"Who are the Authorized Signatory and Manager, Agency Services of the company which is the Issuing Bank, in the agreement?","John Flores, Yvonne Brazier",3,0,1
32,Who are the Assistant Vice President and Vice President Commercial Banking of the company which is the Bank in the agreement?,"Douglas Brandes, Todd Patchell",3,0,1
