document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What is the role in the agreement of the company where jeffry r keyes is employed?,borrowers,2,0,0
116,What is the role in the agreement of the company where orit mizrachi is employed?,the company,2,0,0
116,What is the role in the agreement of the company where venugopal rathi is employed?,the company,2,0,0
116,What is the role in the agreement of the company where venu rathi is employed?,the company,2,0,0
117,What is the role in the agreement of the company where chris burns is employed?,lender,2,0,0
117,What is the role in the agreement of the company where kirsten jakobsen is employed?,lender,2,0,0
117,What is the role in the agreement of the company where jim a swanson is employed?,borrower,2,0,0
103,What is the role in the agreement of the company where scott huckins is employed?,guarantor,2,0,0
103,What is the role in the agreement of the company where stuart brown is employed?,guarantor,2,0,0
103,What is the role in the agreement of the company where paul a barker is employed?,guarantor,2,0,0
103,What is the role in the agreement of the company where stephen sernett is employed?,borrowers,2,0,0
16,What is the role in the agreement of the company where ian w estus is employed?,borrower,2,0,0
14,What is the role in the agreement of the company where todd dittmann is employed?,administrative agent,2,0,0
14,What is the role in the agreement of the company where james harris is employed?,borrower,2,0,0
28,What is the role in the agreement of the company where pedro gonzalez de cosio is employed?,lender,2,0,0
28,What is the role in the agreement of the company where joseph ciaffoni is employed?,borrower,2,0,0
129,What is the role in the agreement of the company where jeffrey glajch is employed?,borrower,2,0,0
115,What is the role in the agreement of the company where adam rose is employed?,lender,2,0,0
115,What is the role in the agreement of the company where melanie housey hart is employed?,guarantors,2,0,0
115,What is the role in the agreement of the company where jennifer m neil is employed?,guarantors,2,0,0
101,What is the role in the agreement of the company where stanton m nelson is employed?,borrower,2,0,0
101,What is the role in the agreement of the company where spencer sockwell is employed?,lender,2,0,0
100,What is the role in the agreement of the company where dan johnston is employed?,borrower,2,0,0
100,What is the role in the agreement of the company where peter kuipers is employed?,borrower,2,0,0
114,What is the role in the agreement of the company where peter feret is employed?,guarantors,2,0,0
15,What is the role in the agreement of the company where shawn matthews is employed?,borrower,2,0,0
15,What is the role in the agreement of the company where racquel ac small is employed?,lender,2,0,0
15,What is the role in the agreement of the company where jared randall is employed?,lender,2,0,0
11,What is the role in the agreement of the company where john j tus is employed?,borrower,2,0,0
138,What is the role in the agreement of the company where frederick h denecke is employed?,lender,2,0,0
105,What is the role in the agreement of the company where xu peixin is employed?,lender,2,0,0
105,What is the role in the agreement of the company where gary s loffredo is employed?,borrower,2,0,0
111,What is the role in the agreement of the company where eoin naughton is employed?,lender,2,0,0
111,What is the role in the agreement of the company where guy bowker is employed?,borrower,2,0,0
111,What is the role in the agreement of the company where hector j varona is employed?,lender,2,0,0
111,What is the role in the agreement of the company where kevin chan is employed?,lender,2,0,0
111,What is the role in the agreement of the company where neville grant is employed?,lender,2,0,0
111,What is the role in the agreement of the company where louise twiss west is employed?,lender,2,0,0
10,What is the role in the agreement of the company where rodney beeks is employed?,lender,2,0,0
10,What is the role in the agreement of the company where kenise henry larmond is employed?,lender,2,0,0
10,What is the role in the agreement of the company where shane m leary is employed?,lender,2,0,0
10,What is the role in the agreement of the company where michael king is employed?,lender,2,0,0
10,What is the role in the agreement of the company where terence f sullivan is employed?,borrower,2,0,0
38,What is the role in the agreement of the company where vanessa kurbatskiy is employed?,lender,2,0,0
38,What is the role in the agreement of the company where rebecca kratz is employed?,lender,2,0,0
38,What is the role in the agreement of the company where michael king is employed?,lender,2,0,0
