document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.1640625,0.7083569067170074,0.16076198610241837,1.625,32
17,0.2256393800701446,0.7189530062280959,0.21044750642617882,2.185185185185185,27
25,0.5,0.3351760812287128,0.5,3.4285714285714284,14
43,0.09090909090909091,0.888888888888889,0.09090909090909091,1.3636363636363635,11
45,0.3125,0.5953651906252362,0.30878930391966736,2.2,20
47,0.07547169811320754,0.8249773561959749,0.07547169811320756,1.4339622641509433,53
51,0.2155844155844156,0.7381134388452258,0.20426810720394487,1.8571428571428572,21
60,0.0606060606060606,0.8051601380954757,0.06209329364207328,1.25,44
65,0.28625541125541126,0.6375288507750954,0.27921365429528244,2.107142857142857,28
66,0.025,0.815139419867361,0.025,1.1,40
