Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity
112,66,who is the authorized signer of the company which is the issuing lender but not the revolver in the agreement,james riley,3,2,0,Ronnie Glenn,0.0,0.16666666666666663,0.0
113,66,who is the authorized signer of the company which is the term loan a lender but not the revolver in the agreement,james riley,3,2,0,James Riley,1.0,1.0,1.0000000000000002
114,66,who is the authorized signer of the company which is the swingline lender but not the revolver in the agreement,james riley,3,2,0,Darin Mullis,0.0,0.25,0.0
164,47,who is the vice president of the company which is the lender but not the co syndication agents in the agreement,bremmer kneib,3,2,0,Marni McManus,0.0,0.07692307692307687,0.0
165,47,who is the director of the company which is the co syndication agents but not the bookrunners in the agreement,brian mcnany,3,2,0,Brian McNany,1.0,1.0,1.0000000000000002
166,47,who is the director of the company which is the lender but not the bookrunners in the agreement,brian mcnany,3,2,0,Brian McNany,1.0,1.0,1.0000000000000002
167,47,who is the director of the company which is the lender but not the co syndication agents in the agreement,brian mcnany,3,2,0,Brian McNany,1.0,1.0,1.0000000000000002
168,47,"who is the managing director of the company which is the lender but not the administrative agent, in the agreement",kirk tesch,3,2,0,Not found,0.0,0.09999999999999998,0.0
182,51,who is the vice president of the company which is the collateral agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Sonia N. Flores,0.0,0.1428571428571429,0.0
183,51,who is the vice president of the company which is the collateral agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Sonia N. Flores,0.0,0.1428571428571429,0.0
184,51,who is the vice president of the company which is the collateral agent but not the lender in the agreement,cody gunsch,3,2,0,Sonia N. Flores,0.0,0.1428571428571429,0.0
185,51,who is the vice president of the company which is the administrative agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,1.0,1.0000000000000002
186,51,who is the vice president of the company which is the administrative agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,1.0,1.0000000000000002
187,51,who is the vice president of the company which is the administrative agent but not the lender in the agreement,cody gunsch,3,2,0,Cody Gunsch,1.0,1.0,1.0000000000000002
353,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the roles of Joint Lead Arranger and Joint Bookrunner, and Documentation Agent, which are not held by Fifth Third Bank, National Association.",0.19999999999999998,0.15760869565217395,0.12719209062331532
354,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the roles of Joint Lead Arranger and Joint Bookrunner, and Documentation Agent, which are not held by Goldman Sachs Bank USA.",0.20689655172413793,0.17159763313609466,0.12879130035291703
355,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the roles of Joint Lead Arranger and Joint Bookrunner, and Documentation Agent, which are not held by PNC Bank, National Association.",0.20689655172413793,0.1647727272727273,0.12879130035291703
356,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the roles of Joint Lead Arranger and Joint Bookrunner, and Documentation Agent, which are not held by PNC Capital Markets LLC.",0.21428571428571425,0.1470588235294118,0.18968815925962856
357,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the roles of Joint Lead Arranger and Joint Bookrunner, and Documentation Agent, which are not held by TD Bank, N.A.",0.21428571428571427,0.17834394904458595,0.1304523892726775
358,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the roles of Joint Lead Arranger and Joint Bookrunner, and Documentation Agent, which are not held by Wells Fargo Bank, National Association.",0.19999999999999998,0.1630434782608695,0.12719209062331532
359,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the roles of Joint Lead Arranger and Joint Bookrunner, and Documentation Agent, which are not held by JPMorgan Chase Bank, N.A.",0.20689655172413793,0.1775147928994083,0.12879130035291703
