document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
47,0.07407407407407407,0.9159143106042608,0.05174691629105193,2.3333333333333335,3
60,0.05258964199648787,0.8344106771958314,0.02824987439369722,1.0,71
61,0.03636363636363636,0.9542131801055669,0.034010533074669044,1.8,5
83,0.09756299734748011,0.9089383010247335,0.15753342008815674,2.5,8
84,0.0,0.9512820512820512,0.0,1.0,5
107,0.17113665389527458,0.723025366823436,0.22111171412005107,1.6666666666666667,6
121,0.02222222222222222,0.9023564528393377,0.04222338852871375,1.3,10
135,0.0,0.7825231481481482,0.0,1.0,12
139,0.023529411764705882,0.9236722170862246,0.03298263587329357,1.0,5
145,0.12561576354679801,0.8492056383001977,0.08324299627942817,1.2,5
153,0.21052631578947367,0.9083969465648855,0.1534255354252166,5.0,1
166,0.26666666666666666,0.5600569800569801,0.2666666666666667,2.066666666666667,15
