document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,"What type of location is 10 South Dearborn Street, 49th FloorChicago, IL 60603?",Chief Executive Office,1,0,0
15,"What type of location is 1285 Avenue of the AmericasNew York, New York 10019?",branch office,1,0,0
39,"What type of location is 2058 South Bailey RoadNorth Jackson, OH 44541?",Chief Executive Office,1,0,0
39,"What type of location is 600 Mayer StreetBridgeville, PA 15017?",Chief Executive Office,1,0,0
39,"What type of location is 830 Brigham RoadDunkirk, NY 14048?",Chief Executive Office,1,0,0
11,"What type of location is Floor 3, Ops 2500 Stanton Christiana Rd.Newark, DE 19713?","Loan and Agency Services Group,",1,0,0
106,"What type of location is 420 W. Van Buren Street, 9th FloorSuite IL 1-0199Chicago, IL 60606-3534?",Global TS Contract %26 Documentation,1,0,0
72,"What type of location is 25 Canada SquareCanary WharfLondon, England E14 5LB?",UK Branch,1,0,0
166,What type of location is England?,registered office,1,0,0
166,What type of location is Dubai UAE?,Zonal office,1,0,0
166,"What type of location is Two Alliance Center, 3560 Lenox Road, Suite 2000, Atlanta, GA 30326, USA?",corporate office,1,0,0
165,"What type of location is Mail Code%3A CA5-705-04-09555 California Street, 4th FloorSan Francisco, CA 94104?",Agency Management,1,0,0
154,"What type of location is 10 South Dearborn, Floor L2Suite IL1-1145Chicago, IL, 60603-2300?",Middle Market Servicing,1,0,0
154,"What type of location is 4 New York Plaza, Floor 17New York, NY 10004?",Commercial Banking,1,0,0
141,"What type of location is 500 First AvenuePittsburgh, PA 15219?",Agency Services,1,0,0
6,What type of location is LOS ANGELES?,BRANCH,1,0,0
4,What type of location is CAYMAN ISLANDS?,BRANCH,1,0,0
95,"What type of location is 100 N. Tryon StreetMail Code%3A NC1 -007-17-11Charlotte, NC 28255?",Global Corporate Debt Products,1,0,0
95,"What type of location is 1455 Market StreetMail Code%3A CA5-701-05-19San Francisco, California 94103-1399?",Agency Management,1,0,0
157,What type of location is 1100 Placid Avenue Plano TX 75074?,OFFSITE STORAGE,1,0,0
157,"What type of location is 480 S. Honduras CD, Juraez, Mexico?",MEXICO LOCATION %28Contract Manufacturing%29,1,0,0
157,What type of location is 903 E. Walnut St. Garland TX 75040?,FRONT END%2FTEST BUILDING,1,0,0
157,What type of location is 1137 E. Walnut St. Garland TX 75040?,OFFSITE STORAGE,1,0,0
157,What type of location is 725 E. Walnut St. Garland TX 75040?,OPTO BUILDING,1,0,0
157,What type of location is 905 E. Walnut St. Garland TX 75040?,MICRO BUILDING AND CORPORATE OFFICE,1,0,0
157,What type of location is 912 E. Walnut St. Garland TX 75040?,ASSEMBLY BUILDING,1,0,0
142,"What type of location is 500 Place d%C2%92Armes, 26th Floor?",Corporate Customers Operations,1,0,0
91,"What type of location is 633 17th Street, Suite 1900Denver, Colorado 80202-3619?",Address for Notices%3A,1,0,0
91,"What type of location is Bank of Oklahoma1625 Broadway, Suite 1100Denver, Colorado 80202?",Address for Notices%3A,1,0,0
91,"What type of location is P.O. Box 248817Oklahoma City, Oklahoma 73124-8817?",Payment Processing Center,1,0,0
44,"What type of location is PA6-580-02-301 Fleet WayScranton, PA 18507Attention%3A Alfonso Malave Jr.?",Trade Finance,1,0,0
79,"What type of location is One Fleet Way, 2nd FloorMail Code PA6-580-02-30Scranton, PA 18507?",Global Trade Operations,1,0,0
123,What type of location is Cayman Islands?,Branch,1,0,0
123,What type of location is Dublin?,Branch,1,0,0
136,"What type of location is 4800 Montgomery Lane, %23450, Bethesda, Maryland 20814?",Chief Executive Office,1,0,0
122,What type of location is LONDON?,BRANCH,1,0,0
122,What type of location is NEW YORK?,BRANCH,1,0,0
35,What type of location is GRAND CAYMAN?,BRANCH,1,0,0
35,What type of location is NEW YORK?,BRANCH,1,0,0
35,What type of location is New York?,Branch,1,0,0
121,What type of location is NEW YORK?,BRANCH,1,0,0
135,"What type of location is 135 S. LaSalle St.Mail Code%3A IL4-135-09-61Chicago, IL 60603?",Agency Management,1,0,0
118,What type of location is CAYMAN ISLANDS?,BRANCH,1,0,0
32,"What type of location is 13-15 avenue de la Libert%C3%A9, L-1931 Luxembourg?",registered office,1,0,0
26,"What type of location is 1300 Thames Street, Thames Street Wharf, 4th Floor, Baltimore, MD 21231?",office,1,0,0
26,What type of location is NEW YORK?,BRANCH,1,0,0
26,What type of location is New York?,Branch,1,0,0
