document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
11,What is the address of the loan and agency services group office of the company which is both the administrative agent and initial lender in the agreement?,floor 3 ops 2 500 stanton christiana rd newark de 19713,3,1,0
138,What is the address of the administrative agents office office of the company which is both the administrative agent and lender in the agreement?,575 market street floor 28 san francisco ca 94105,3,1,0
72,What is the address of the uk branch office of the company which is both the arrangers and book runners in the agreement?,25 canada square canary wharf london england e14 5lb,3,1,0
165,What is the address of the agency management office of the company which is both the administrative agent and lender in the agreement?,mail code ca5 705 04 09 555 california street 4th floor san francisco ca 94104,3,1,0
141,What is the address of the agency services office of the company which is both the administrative agent and lender in the agreement?,500 first avenue pittsburgh pa 15219,3,1,0
95,What is the address of the global corporate debt products office of the company which is both the administrative agent and lender in the agreement?,100 n tryon street mail code nc1 007 17 11 charlotte nc 28255,3,1,0
95,What is the address of the agency management office of the company which is both the administrative agent and lender in the agreement?,1455 market street mail code ca5 701 05 19 san francisco california 94103 1399,3,1,0
123,What is the address of the branch office of the company which is both the agent and lender in the agreement?,cayman islands,3,1,0
137,What is the address of the domestic lending office office of the company which is both the administrative agent and lender in the agreement?,hanover street capital llc 48 wall street 14th floor new york ny 10005,3,1,0
135,What is the address of the agency management office of the company which is both the administrative agent and lender in the agreement?,135 s lasalle st mail code il4 135 09 61 chicagoil 60603,3,1,0
32,What is the address of the registered office office of the company which is both the borrowers and initial borrower in the agreement?,13 15 avenue de la liberté l 1931 luxembourg,3,1,0
