Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,sum_values,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
0,17,"what is the location of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",1,0.6666666666666665,0.8867924528301887,0.5101490193104813,5
1,17,"what is the location of exgen renewables iv, llc","md 21231, 1310 point street, 12th floorbaltimore",1,0,0,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",1,0.11764705882352941,0.6226415094339622,0.06437099366532754,1
2,17,"what is the location of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",1,0.6666666666666665,0.8867924528301887,0.5101490193104813,5
3,17,"what is the location of exelon generation company, llc","dc 20068, 701 ninth street nw, 9th floorwashington",1,0,0,"1300 Thames Street, 4th Floor Thames Street Wharf, Baltimore, MD 21231",1,0.11764705882352941,0.746268656716418,0.10239766588500392,1
4,17,"what is the location of morgan stanley senior funding, inc.","md 21231, 1300 thames street, 4th floorthames street wharfbaltimore",1,0,0,"1300 Thames Street, 4th Floor Thames Street Wharf, Baltimore, MD 21231",1,0.7058823529411765,0.29850746268656714,0.6563149885851901,5
5,17,what is the location of simpson thacher bartlett llp,"new york, 425 lexington avenue",1,0,0,Not found,1,0.0,0.8275862068965517,0.0,1
6,17,"what is the location of wilmington trust, national association",1100 north market streetwilmington delaware 19890,1,0,0,"1100 North Market Street, Wilmington Delaware 19890",1,0.7692307692307692,0.02,0.6327904583679945,5
7,17,which company is associated with 1100 north market streetwilmington delaware 19890,"wilmington trust, national association",1,0,0,"Wilmington Trust, National Association",1,1.0,0.0,1.0,5
8,17,"which company is associated with 1300 thames street, 4th floorthames street wharfbaltimore, md 21231","inc., morgan stanley senior funding",1,0,0,"Morgan Stanley Senior Funding, Inc.",1,1.0,0.24242424242424243,1.0000000000000002,5
9,17,"which company is associated with 1310 point street, 12th floorbaltimore, md 21231","llc, exgen renewables iv",1,0,0,Not found,1,0.0,0.9130434782608695,0.0,1
10,17,"which company is associated with 425 lexington avenue, new york, new york 10017",simpson thacher bartlett llp,1,0,0,Not found,1,0.0,0.8928571428571429,0.0,1
11,17,"which company is associated with 701 ninth street nw, 9th floorwashington, dc 20068","llc, exelon generation company",1,0,0,Not found,1,0.0,0.8275862068965517,0.0,1
12,17,"what type of location is 10 south dearborn street, 49th floorchicago, il 60603",chief executive office,1,0,0,Chief Executive Office/ Sole Place of Business or Principal Residence,1,0.30769230769230765,0.6811594202898551,0.42223388528713734,5
13,17,"what is the role of exgen renewables iv, llc in the agreement",borrower,1,0,0,"Grantor, Borrower",1,0.6666666666666666,0.5,0.5797386715376658,3
14,17,"what is the role of constellation dco albany power holdings, llc in the agreement",grantor,1,0,0,Consents to the grant by the Grantor of a security interest in all of the Pledged Equity Interests constituting Collateral to the Collateral Agent,1,0.10526315789473684,0.952054794520548,0.11179411559452253,5
15,17,"what is the role of exgen renewables iv holding, llc in the agreement",holding,1,0,0,"Holding, Pledgor",1,0.6666666666666666,0.5333333333333333,0.5797386715376658,3
16,17,"what is the role of exelon avsr holding, llc in the agreement",grantor,1,0,0,Consents to the grant by the Grantor of a security interest in all of the Pledged Equity Interests constituting Collateral to the Collateral Agent,1,0.10526315789473684,0.952054794520548,0.11179411559452253,5
17,17,"what is the role of solgen holding, llc in the agreement",grantor,1,0,0,Consents to the grant by the Grantor of a security interest in all of the Pledged Equity Interests constituting Collateral to the Collateral Agent,1,0.10526315789473684,0.952054794520548,0.11179411559452253,5
18,17,"what is the role of wilmington trust, national association in the agreement","national associationagent, collateralwilmington trust",1,0,0,"Depositary Bank, Collateral Agent",1,0.0,0.6346153846153846,0.0,4
19,17,what company is the borrower in the agreement,"llc, exgen renewables iv",1,0,0,"EXGEN RENEWABLES IV, LLC",1,1.0,0.34782608695652173,1.0,5
20,17,what company is the holding in the agreement,"llc, exgen renewables iv holding",1,0,0,"EXGEN RENEWABLES IV HOLDING, LLC",1,1.0,0.25806451612903225,1.0000000000000002,5
23,17,what company is the documentation agent in the agreement,"inc., morgan stanley senior funding",1,0,0,Not found,1,0.0,0.7575757575757576,0.0,1
24,17,"what company is the syndication agent, in the agreement","inc., morgan stanley senior funding",1,0,0,Not found,1,0.0,0.7575757575757576,0.0,1
25,17,what company is the collateral agent in the agreement,"wilmington trust, national association",1,0,0,"WILMINGTON TRUST, NATIONAL ASSOCIATION",1,1.0,0.0,1.0,5
26,17,what company is the depositary bank in the agreement,"wilmington trust, national association",1,0,0,"WILMINGTON TRUST, NATIONAL ASSOCIATION",1,1.0,0.0,1.0,5
27,17,what company is the pledgor in the agreement,"llc, exgen renewables iv",1,0,0,"EXGEN RENEWABLES IV HOLDING, LLC, EXGEN RENEWABLES HOLDINGS, LLC",1,0.8,0.639344262295082,0.8501091337516257,4
28,17,"what company is the collateralwilmington trust, national associationagent in the agreement","wilmington trust, national association",1,0,0,"WILMINGTON TRUST, NATIONAL ASSOCIATION",1,1.0,0.0,1.0,5
1292,60,what is the position of anthony galea,executive director,1,0,0,Executive Director,1,1.0,0.0,1.0000000000000002,5
