document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What are the roles in the agreement of the company associated with 1310 point street 12th floor baltimore md 21231?,"borrower, grantor, pledgor",2,0,1
17,What are the roles in the agreement of the company associated with 1300 thames street 4th floor thames street wharf baltimore md 21231?,"bookrunner, documentation agent, lead arranger, syndication agent",2,0,1
17,What are the roles in the agreement of the company associated with 1100 north market street wilmington delaware 19890?,"collateral agent, collateral wilmington trust national association agent, depositary bank",2,0,1
102,What are the roles in the agreement of the company associated with 1048 industrial court suite e suwanee ga 30024?,"administrative borrower, borrowers",2,0,1
102,What are the roles in the agreement of the company associated with 2450 colorado avenue suite 3000 west santa monica ca 90404?,"administrative agent, arranger, book runner, lender, sole book runner",2,0,1
116,What are the roles in the agreement of the company associated with 120 south lasalle street chicago illinois 60603?,"administrative agent, arranger, issuing lender",2,0,1
116,What are the roles in the agreement of the company associated with 70 w madison chicago illinois 60602?,"administrative agent, arranger, issuing lender",2,0,1
16,What are the roles in the agreement of the company associated with two international place 17th floor boston ma 02110?,"lender, term agent",2,0,1
28,What are the roles in the agreement of the company associated with one bryant park new york ny 10036 6745?,"agent, lender",2,0,1
28,What are the roles in the agreement of the company associated with 110 east 59th street 3300 new york ny 10022?,"agent, investment manager, lender",2,0,1
28,What are the roles in the agreement of the company associated with 51 new north road exeter ex4 4ep united kingdom?,"collateral agent, lender",2,0,1
129,What are the roles in the agreement of the company associated with 1 south clinton avenue floor 7 rochester ny 14604?,"administrative agent, issuing bank",2,0,1
100,What are the roles in the agreement of the company associated with 400 hamilton ave suite110 palo alto ca 94301?,"administrative agent, issuing lender, swingline lender",2,0,1
114,What are the roles in the agreement of the company associated with moduslink corporation 1601 trapelo road suite 170 waltham massachusetts 02451?,"borrower, borrowers",2,0,1
128,What are the roles in the agreement of the company associated with jpmorgan loan services 500 stanton christiana road ncc5 floor 1 newark de 19713?,"administrative agent, arranger, bookrunners",2,0,1
29,What are the roles in the agreement of the company associated with new york?,"borrower, guarantors",2,0,1
29,What are the roles in the agreement of the company associated with 6750 miller road brecksville ohio 44141?,"administrative agent, issuing bank, lender",2,0,1
29,What are the roles in the agreement of the company associated with 1175 john street rochester new york 14586?,"parent, parent borrower",2,0,1
29,What are the roles in the agreement of the company associated with 911 panorama trail south rochester new york 14625?,"parent, parent borrower",2,0,1
39,What are the roles in the agreement of the company associated with one bryant park 32nd floor new york ny 10036?,"co collateral agent, lender",2,0,1
39,What are the roles in the agreement of the company associated with 300 fifth avenue 14th floor pittsburgh pennsylvania 15222?,"administrative agent, co collateral agent, lender",2,0,1
39,What are the roles in the agreement of the company associated with 6750 miller rd mail stop br yb58 01 p brecksville ohio 44141?,"administrative agent, co collateral agent, lender",2,0,1
11,What are the roles in the agreement of the company associated with floor 3 ops 2 500 stanton christiana rd newark de 19713?,"administrative agent, initial lender",2,0,1
110,What are the roles in the agreement of the company associated with harborside financial center 1800 plaza ten jersey city nj 07311?,"agent, arrangers, bookrunners",2,0,1
104,What are the roles in the agreement of the company associated with ohio?,"guarantor, material subsidiaries",2,0,1
104,What are the roles in the agreement of the company associated with delaware?,"guarantor, material subsidiaries",2,0,1
104,What are the roles in the agreement of the company associated with kansas?,"guarantor, material subsidiaries",2,0,1
104,What are the roles in the agreement of the company associated with texas?,"guarantor, material subsidiaries",2,0,1
104,What are the roles in the agreement of the company associated with arizona?,"guarantor, material subsidiaries",2,0,1
138,What are the roles in the agreement of the company associated with 11620 wilshire boulevard suite 1000 los angeles california 90025?,"borrower, guarantors",2,0,1
138,What are the roles in the agreement of the company associated with 575 market street floor 28 san francisco ca 94105?,"administrative agent, lender",2,0,1
138,What are the roles in the agreement of the company associated with pnc firstside center 500 first avenue fourth floor pittsburgh pa 15219?,"administrative agent, lender",2,0,1
139,What are the roles in the agreement of the company associated with 500 stanton christiana road newark de 19713?,"agent, borrower, lender, lenders",2,0,1
111,What are the roles in the agreement of the company associated with mac d1109 019 1525 west wt harris blvd charlotte nc 28262?,"administrative agent, agent, lender",2,0,1
111,What are the roles in the agreement of the company associated with one wells fargo center 11th floor 301 south college street charlotte north carolina 28202?,"administrative agent, agent, lender",2,0,1
10,What are the roles in the agreement of the company associated with 200 vesey street new york new york 10281?,"administrative agent, lender issuing bank",2,0,1
10,What are the roles in the agreement of the company associated with royal bank plaza 200 bay street 12th floor south tower toronto ontario m5j 2w7 canada?,"administrative agent, lender issuing bank",2,0,1
38,What are the roles in the agreement of the company associated with 383 madison avenue new york new york 10179?,"administrative agent, lender",2,0,1
38,What are the roles in the agreement of the company associated with 500 stanton christiana road ops 2 3rd floor newark de 19713?,"administrative agent, lender",2,0,1
12,What are the roles in the agreement of the company associated with mizuho bank ltd harborside financial ctr 1800 plaza ten jersey city nj 07311?,"administrative agent, lender",2,0,1
107,What are the roles in the agreement of the company associated with delaware usa?,"borrower, domestic guarantor, grantor, guarantor, guarantors",2,0,1
107,What are the roles in the agreement of the company associated with 1301 avenue of the americas new york new york 10019?,"administrative agent, arranger, collateral agent, intercreditor agent, lead arrangers, lender",2,0,1
107,What are the roles in the agreement of the company associated with 745 seventh avenue new york new york 10019?,"administrative agent, arranger, collateral agent, intercreditor agent, lead arrangers, lender",2,0,1
107,What are the roles in the agreement of the company associated with canada?,"domestic guarantor, grantor",2,0,1
107,What are the roles in the agreement of the company associated with 275 frank tompa drive waterloo ontario?,"domestic guarantor, grantor",2,0,1
107,What are the roles in the agreement of the company associated with 1959 upper water street suite 900 halifax nova scotia?,"domestic guarantor, grantor",2,0,1
107,What are the roles in the agreement of the company associated with nova scotia canada?,"domestic guarantor, grantor",2,0,1
112,What are the roles in the agreement of the company associated with 10 so dearborn floor l2s chicago il 60603 2300?,"administrative agent, arrangers, bookrunners, lender",2,0,1
112,What are the roles in the agreement of the company associated with 50 rowes wharf 2nd floor boston ma 02110?,"administrative agent, arrangers, bookrunners, lender",2,0,1
106,What are the roles in the agreement of the company associated with casco bay 125 shore road veazie me 04401 penobscot county maine?,"borrowers, lenders",2,0,1
106,What are the roles in the agreement of the company associated with kendall 1401 county line road minookail 60447 kendall and grundy countiesillinois?,"borrowers, lenders",2,0,1
106,What are the roles in the agreement of the company associated with morro bay 1290 embarcadero morro bay ca 93442 san luis obispo county california?,"borrowers, lenders",2,0,1
106,What are the roles in the agreement of the company associated with moss landing hwy 1and dolan road moss landing ca 95039 monterey county california?,"borrowers, lenders",2,0,1
106,What are the roles in the agreement of the company associated with oakland 50 martin luther king way oakland ca 94607 alameda county california?,"borrowers, lenders",2,0,1
106,What are the roles in the agreement of the company associated with ontelaunee 5115 pottsville pike reading pa 19605 berks county pennsylvania?,"borrowers, lenders",2,0,1
106,What are the roles in the agreement of the company associated with 601 travis street 14thfloor houston texas 77002 5050?,"borrower, lenders, subordinated borrowers",2,0,1
106,What are the roles in the agreement of the company associated with 4th floor 20 king street west toronto ontario m5h 1c4?,"administrative agent, collateral trustee, lender",2,0,1
13,What are the roles in the agreement of the company associated with 520 madison avenue new york new york 10022?,"administrative agent, collateral agent, lender",2,0,1
13,What are the roles in the agreement of the company associated with managing director?,"administrative agent, collateral agent, lender",2,0,1
60,What are the roles in the agreement of the company associated with one penns way ops ii floor 2 new castle de 19720?,"administrative agent, arrangers, bookrunners",2,0,1
74,What are the roles in the agreement of the company associated with 4900 tiedeman road mail code oh 01 49 0362 brooklyn ohio 44144?,"administrative agent, lc issuer",2,0,1
48,What are the roles in the agreement of the company associated with 1100 louisiana suite 3300 houston tx 77002 5217?,"borrower, lender",2,0,1
48,What are the roles in the agreement of the company associated with c o enbridge inc 3000 425 1st calgary alberta canada?,"borrower, lender",2,0,1
75,What are the roles in the agreement of the company associated with 270 park avenue 43rd floor?,"sole bookrunner, sole lead arranger",2,0,1
77,What are the roles in the agreement of the company associated with 10 south dearborn street chicago illinois 60603?,"administrative agent, issuing bank, lender",2,0,1
63,What are the roles in the agreement of the company associated with 1420 5th avenue seattle wa 98121?,"administrative agent, lc issuer, lender",2,0,1
63,What are the roles in the agreement of the company associated with dn co t4 950 seventeenth street 4th floor denver colorado 80202?,"administrative agent, lc issuer, lender",2,0,1
88,What are the roles in the agreement of the company associated with 445 s figueroa street floor 10 los angeles ca 90071?,"agent, issuing bank, lender, swing line lender",2,0,1
162,What are the roles in the agreement of the company associated with 1615 brett road ops 3 new castle de 19720?,"administrative agent, joint bookrunners, joint lead arrangers, lender",2,0,1
89,What are the roles in the agreement of the company associated with 10 s dearborn chicagoil 60603?,"administrative agent, arrangers, bookrunners",2,0,1
72,What are the roles in the agreement of the company associated with 25 canada square canary wharf london england e14 5lb?,"arrangers, book runners",2,0,1
66,What are the roles in the agreement of the company associated with 1525 w wt harris blvd charlotte north carolina 28262?,"agent, lender",2,0,1
