document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
47,0.3333333333333333,0.6076923076923078,0.3333333333333334,2.3333333333333335,3
60,0.0,0.8532132116779749,0.0,1.0,71
61,0.0,0.8220779220779221,0.0,1.0,5
83,0.22499999999999998,0.8455882352941176,0.19672165891714266,2.125,8
84,0.0,0.9512820512820512,0.0,1.0,5
107,0.0,0.9026488095238095,0.0,1.0,6
121,0.1,0.7681447963800905,0.10000000000000002,1.4,10
135,0.0,0.8125,0.0,1.0,12
139,0.0,0.8969696969696969,0.0,1.0,5
145,0.4800000000000001,0.6794425087108014,0.42557835996376436,2.8,5
153,0.0,0.7894736842105263,0.0,1.0,1
166,0.7333333333333333,0.22826210826210827,0.7333333333333335,3.933333333333333,15
