document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What company is both the grantor and pledgor in the agreement?,exgen renewables iv llc,1,1,0
17,What company is both the grantor and borrower in the agreement?,exgen renewables iv llc,1,1,0
17,What company is both the pledgor and borrower in the agreement?,exgen renewables iv llc,1,1,0
17,What company is both the lead bookrunner and bookrunner in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the lead bookrunner and syndication agent in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the lead bookrunner and lead arranger in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the lead bookrunner and arranger in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the lead bookrunner and documentation agent in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the bookrunner and syndication agent in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the bookrunner and lead arranger in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the bookrunner and arranger in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the bookrunner and documentation agent in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the syndication agent and lead arranger in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the syndication agent and arranger in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the syndication agent and documentation agent in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the lead arranger and arranger in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the lead arranger and documentation agent in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the arranger and documentation agent in the agreement?,morgan stanley senior funding inc,1,1,0
17,What company is both the collateral wilmington trust national association agent and depositary bank in the agreement?,wilmington trust national association,1,1,0
17,What company is both the collateral wilmington trust national association agent and collateral agent in the agreement?,wilmington trust national association,1,1,0
17,What company is both the depositary bank and collateral agent in the agreement?,wilmington trust national association,1,1,0
102,What company is both the borrowers and administrative borrower in the agreement?,digirad corporation,1,1,0
102,What company is both the borrowers and borrower in the agreement?,digirad corporation,1,1,0
102,What company is both the administrative borrower and borrower in the agreement?,digirad corporation,1,1,0
102,What company is both the agent and sole lead arranger in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the agent and sole book runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the agent and book runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the agent and runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the agent and administrative agent in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the agent and lender in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the agent and arranger in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole lead arranger and sole book runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole lead arranger and book runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole lead arranger and runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole lead arranger and administrative agent in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole lead arranger and lender in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole lead arranger and arranger in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole book runner and book runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole book runner and runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole book runner and administrative agent in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole book runner and lender in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the sole book runner and arranger in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the book runner and runner in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the book runner and administrative agent in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the book runner and lender in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the book runner and arranger in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the runner and administrative agent in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the runner and lender in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the runner and arranger in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the administrative agent and lender in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the administrative agent and arranger in the agreement?,wells fargo bank national association,1,1,0
102,What company is both the lender and arranger in the agreement?,wells fargo bank national association,1,1,0
116,What company is both the agent and issuing lender in the agreement?,cibc bank usa,1,1,0
116,What company is both the agent and administrative agent in the agreement?,cibc bank usa,1,1,0
116,What company is both the agent and lender in the agreement?,cibc bank usa,1,1,0
116,What company is both the agent and arranger in the agreement?,cibc bank usa,1,1,0
116,What company is both the issuing lender and administrative agent in the agreement?,cibc bank usa,1,1,0
116,What company is both the issuing lender and lender in the agreement?,cibc bank usa,1,1,0
116,What company is both the issuing lender and arranger in the agreement?,cibc bank usa,1,1,0
116,What company is both the administrative agent and lender in the agreement?,cibc bank usa,1,1,0
116,What company is both the administrative agent and arranger in the agreement?,cibc bank usa,1,1,0
116,What company is both the lender and arranger in the agreement?,cibc bank usa,1,1,0
117,What company is both the bookrunner and joint bookrunner in the agreement?,bofa securities inc,1,1,0
117,What company is both the joint lead arranger and arranger in the agreement?,wells fargo securities llc,1,1,0
117,What company is both the agent and lender in the agreement?,bank of america na,1,1,0
117,What company is both the agent and syndication agent in the agreement?,bank of america na,1,1,0
117,What company is both the lender and syndication agent in the agreement?,bank of america na,1,1,0
117,What company is both the agent and issuing lender in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the agent and joint bookrunner in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the agent and bookrunner in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the agent and syndication agent in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the agent and swing line lender in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the agent and administrative agent in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the agent and lender in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the agent and joint lead arranger in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the agent and arranger in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the issuing lender and joint bookrunner in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the issuing lender and bookrunner in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the issuing lender and syndication agent in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the issuing lender and swing line lender in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the issuing lender and administrative agent in the agreement?,jpmorgan chase bank na,1,1,0
117,What company is both the issuing lender and lender in the agreement?,jpmorgan chase bank na,1,1,0
