document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the chief financial officer of the company which is the borrowers but not the administrative borrower in the agreement?,jeffry r keyes,3,2,0
102,Who is the president of the company which is the borrowers but not the administrative borrower in the agreement?,jeffry r keyes,3,2,0
117,Who is the senior vice president of the company which is the lender but not the agent in the agreement?,michael snook,3,2,0
117,Who is the senior vice president of the company which is the lender but not the syndication agent in the agreement?,chris burns,3,2,0
117,Who is the senior vice president of the company which is the lender but not the agent in the agreement?,chris burns,3,2,0
117,Who is the vice president of the company which is the lender but not the syndication agent in the agreement?,kirsten jakobsen,3,2,0
117,Who is the vice president of the company which is the lender but not the agent in the agreement?,kirsten jakobsen,3,2,0
117,Who is the senior vice president of the company which is the lender but not the syndication agent in the agreement?,dawn mace moore,3,2,0
28,Who is the ceo of the company which is the lender but not the agent in the agreement?,pedro gonzalez de cosio,3,2,0
28,Who is the managing member of the company which is the lender but not the agent in the agreement?,pedro gonzalez de cosio,3,2,0
28,Who is the ceo of the company which is the lender but not the investment manager in the agreement?,pedro gonzalez de cosio,3,2,0
28,Who is the managing member of the company which is the lender but not the investment manager in the agreement?,pedro gonzalez de cosio,3,2,0
28,Who is the ceo of the company which is the lender but not the collateral agent in the agreement?,pedro gonzalez de cosio,3,2,0
28,Who is the managing member of the company which is the lender but not the collateral agent in the agreement?,pedro gonzalez de cosio,3,2,0
101,Who is the corporate healthcare banking manager of the company which is the lender but not the administrative agent in the agreement?,spencer sockwell,3,2,0
101,Who is the corporate healthcare banking manager of the company which is the lender but not the sole book runner in the agreement?,spencer sockwell,3,2,0
101,Who is the corporate healthcare banking manager of the company which is the lender but not the arranger in the agreement?,spencer sockwell,3,2,0
101,Who is the corporate healthcare banking manager of the company which is the lender but not the l c issuer in the agreement?,spencer sockwell,3,2,0
100,Who is the managing director of the company which is the lender but not the agent in the agreement?,lee merkle raymond,3,2,0
100,Who is the senior vice president of the company which is the lender but not the agent in the agreement?,tyler j mei,3,2,0
100,Who is the senior vice president of the company which is the lender but not the agent in the agreement?,darran wee,3,2,0
100,Who is the vice president of the company which is the lender but not the agent in the agreement?,mark strzynski,3,2,0
100,Who is the managing director of the company which is the lender but not the agent in the agreement?,alexis coyle,3,2,0
100,Who is the relationship manager of the company which is the lender but not the agent in the agreement?,thomas avery,3,2,0
100,Who is the svp global relationship manager of the company which is the lender but not the agent in the agreement?,christopher m ames,3,2,0
100,Who is the executive director of the company which is the lender but not the agent in the agreement?,marshall trenckmann,3,2,0
100,Who is the director of the company which is the lender but not the agent in the agreement?,teuta ghilaga,3,2,0
128,Who is the vice president of the company which is the arranger but not the joint bookrunners in the agreement?,ryan zimmerman,3,2,0
39,Who is the senior vice president of the company which is the lender but not the administrative agent in the agreement?,james foley,3,2,0
39,Who is the senior vice president of the company which is the co collateral agent but not the administrative agent in the agreement?,james foley,3,2,0
11,Who is the director of the company which is the initial lender but not the administrative agent in the agreement?,mukesh singh,3,2,0
11,Who is the director of the company which is the initial lender but not the administrative agent in the agreement?,craig malloy,3,2,0
11,Who is the vice president of the company which is the initial lender but not the administrative agent in the agreement?,carolyn kee,3,2,0
11,Who is the authorized signatory of the company which is the initial lender but not the administrative agent in the agreement?,robert ehudin,3,2,0
11,Who is the vice president of the company which is the initial lender but not the administrative agent in the agreement?,virginia cosenza,3,2,0
110,Who is the director of the company which is the arrangers but not the joint bookrunners in the agreement?,sydney g dennis,3,2,0
110,Who is the director of the company which is the arrangers but not the bookrunners in the agreement?,sydney g dennis,3,2,0
110,Who is the director of the company which is the arrangers but not the agent in the agreement?,sydney g dennis,3,2,0
110,Who is the executive director of the company which is the arrangers but not the joint bookrunners in the agreement?,dave katz,3,2,0
110,Who is the executive director of the company which is the bookrunners but not the agent in the agreement?,dave katz,3,2,0
110,Who is the executive director of the company which is the arrangers but not the agent in the agreement?,dave katz,3,2,0
110,Who is the vice president of the company which is the arrangers but not the joint bookrunners in the agreement?,traci bankston,3,2,0
110,Who is the vice president of the company which is the bookrunners but not the agent in the agreement?,traci bankston,3,2,0
110,Who is the vice president of the company which is the arrangers but not the agent in the agreement?,traci bankston,3,2,0
