document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
84,What are the positions held by chwan ming ho and edward chen but not by elsa obrien?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by helga blum?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by james m armstrong?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by john c rowland?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by joselin fernandes?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by joshua freedman?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by joshua turner?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by kazuhisa matsuda?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by kirby r holman?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by kristy ahee?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by kyle b oneill?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by lana gifas?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by laura conway?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by mark costantino?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by megan r brearey?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by michael a crabtree?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by michael donofrio?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by michael king?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by ming k chu?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by mrgeorgel chapman?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by noam azachi?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by samuel a bluso?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by scott oconnell?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by tanya crossley?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and edward chen but not by virginia cosenza?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by mark costantino?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by megan r brearey?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by michael a crabtree?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by michael donofrio?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by michael king?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by ming k chu?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by mrgeorgel chapman?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by noam azachi?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by samuel a bluso?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by scott oconnell?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by tanya crossley?,"general manager, vp",1,3,1
84,What are the positions held by chwan ming ho and li hua huang but not by virginia cosenza?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by mark costantino?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by megan r brearey?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by michael a crabtree?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by michael donofrio?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by michael king?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by ming k chu?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by mrgeorgel chapman?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by noam azachi?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by samuel a bluso?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by scott oconnell?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by tanya crossley?,"general manager, vp",1,3,1
84,What are the positions held by edward chen and li hua huang but not by virginia cosenza?,"general manager, vp",1,3,1
