question,answer
What diseases are caused by shigella and escherichia coli?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by shigella and salmonella?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by shigella and campylobacter?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by escherichia coli and shigella?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by escherichia coli and salmonella?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by escherichia coli and campylobacter?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by salmonella and shigella?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by salmonella and escherichia coli?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by salmonella and campylobacter?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by campylobacter and shigella?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by campylobacter and escherichia coli?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
What diseases are caused by campylobacter and salmonella?,"bacteremia,cdi,diarrheal disease,gastroenteritis"
