document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,Who is the Executive Director of the company which is the Lender but not the Arranger in the agreement?,Lynn Braun,3,2,0
117,Who is the Executive Director of the company which is the Lender but not the Administrative Agent in the agreement?,Lynn Braun,3,2,0
117,Who is the Executive Director of the company which is the Lender but not the Agent in the agreement?,Lynn Braun,3,2,0
117,Who is the Executive Director of the company which is the Lender but not the Bookrunner in the agreement?,Lynn Braun,3,2,0
111,Who is the Managing Director of the company which is the Lender but not the Administrative Agent in the agreement?,William R. Goley,3,2,0
111,Who is the Managing Director of the company which is the Lender but not the Agent in the agreement?,William R. Goley,3,2,0
38,Who is the Executive Director of the company which is the Lender but not the Agent in the agreement?,Dave Katz,3,2,0
107,Who is the Assistant Treasurer of the company which is the Guarantor but not the Grantor in the agreement?,Paul McFeeters,3,2,0
107,Who is the Chief Administrative Officer of the company which is the Guarantor but not the Grantor in the agreement?,Paul McFeeters,3,2,0
107,Who is the Chief Executive Officer of the company which is the Guarantor but not the Grantor in the agreement?,Paul McFeeters,3,2,0
107,Who is the Chief Financial Officer of the company which is the Guarantor but not the Grantor in the agreement?,Paul McFeeters,3,2,0
107,Who is the President of the company which is the Guarantor but not the Grantor in the agreement?,Paul McFeeters,3,2,0
107,Who is the Treasurer of the company which is the Guarantor but not the Grantor in the agreement?,Paul McFeeters,3,2,0
107,Who is the Vice President of the company which is the Guarantor but not the Grantor in the agreement?,Paul McFeeters,3,2,0
112,Who is the Authorized Officer of the company which is the Lender but not the Administrative Agent in the agreement?,Amy U. Lessner,3,2,0
77,Who is the Authorized Signatory of the company which is the Lender but not the Co-Documentation Agent in the agreement?,Rebecca Kratz,3,2,0
77,Who is the Executive Director of the company which is the Lender but not the Administrative Agent in the agreement?,Hector J. Varona,3,2,0
77,Who is the Executive Director of the company which is the Lender but not the Issuing Bank in the agreement?,Hector J. Varona,3,2,0
72,Who is the Authorized Signatory of the company which is the Book Runners but not the Syndication Agents in the agreement?,Ryan Durkin,3,2,0
72,Who is the Authorized Signatory of the company which is the Arrangers but not the Syndication Agents in the agreement?,Ryan Durkin,3,2,0
66,Who is the Authorized Signer of the company which is the Lender but not the Revolver in the agreement?,James Riley,3,2,0
66,Who is the Director of the company which is the Lender but not the arrangers in the agreement?,"Cecile Segovia, Kevin Wood",3,2,0
66,Who is the Director of the company which is the Lender but not the Agents in the agreement?,"Cecile Segovia, Kevin Wood",3,2,0
66,Who is the Director of the company which is the Lender but not the joint bookrunners in the agreement?,"Cecile Segovia, Kevin Wood",3,2,0
66,Who is the Managing Director of the company which is the Lender but not the Agent in the agreement?,"Darin Mullis, Erin Robinson",3,2,0
9,Who is the Director of the company which is the Lender but not the Arranger in the agreement?,"Ann E. Sutton, Mikhail Faybusovich",3,2,0
9,Who is the Director of the company which is the Lender but not the Bookrunner in the agreement?,"Ann E. Sutton, Mikhail Faybusovich",3,2,0
9,Who is the Director of the company which is the Agent but not the Arranger in the agreement?,"Ann E. Sutton, Mikhail Faybusovich",3,2,0
9,Who is the Director of the company which is the Agent but not the Bookrunner in the agreement?,"Ann E. Sutton, Mikhail Faybusovich",3,2,0
65,Who is the Director of the company which is the Lender but not the Agent in the agreement?,Sean McWhinnie,3,2,0
65,Who is the Director of the company which is the Lender but not the Issuer in the agreement?,Sean McWhinnie,3,2,0
41,Who is the Director of the company which is the Lender but not the LC Issuer in the agreement?,John Dillon,3,2,0
