Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,sum_values,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
0,139,"who is the senior vice president but not chief financial officer, treasurer of the company where shivani agarwal is employed",jay a. brown,3,2,0,The Senior Vice President but not Chief Financial Officer or Treasurer of the company where Shivani Agarwal is employed is not mentioned in the document.,5,0.0,0.9473684210526315,0.0,1
1,139,who is the vice president but not authorized signatory of the company where eric ridgway is employed,michael king,3,2,0,The Vice President but not Authorized Signatory of the company where Eric Ridgway is employed is Eric Ridgway himself.,5,0.0,0.9230769230769231,0.0,1
2,139,who is the vice president but not authorized signatory of the company where lennie blakeslee is employed,michael king,3,2,0,The Vice President but not Authorized Signatory of the company where Lennie Blakeslee is employed is Lennie Blakeslee himself.,5,0.0,0.92,0.0,1
3,139,who is the vice president but not authorized signatory of the company where michael vondriska is employed,michael king,3,2,0,The Vice President but not Authorized Signatory of the company where Michael Vondriska is employed is Michael Vondriska himself.,5,0.11764705882352941,0.9133858267716536,0.16491317936646785,1
4,139,who is the vice president but not authorized signatory of the company where ronnie glenn is employed,michael king,3,2,0,The Vice President but not Authorized Signatory of the company where Ronnie Glenn is employed is Ronnie Glenn himself.,5,0.0,0.9145299145299145,0.0,1
10,166,who is the head of loan syndications of the company which is the bookrunners but not the lead arrangers in the agreement,carl roberts,3,2,0,Carl Roberts,5,1.0,0.0,1.0000000000000002,5
11,166,who is the head of loan syndications of the company which is the lender but not the lead arrangers in the agreement,carl roberts,3,2,0,Rachit Bhatia,5,0.0,0.7692307692307693,0.0,1
12,166,who is the head of loan syndications of the company which is the lender but not the bookrunners in the agreement,carl roberts,3,2,0,Siddarth Bansal,5,0.0,0.8666666666666667,0.0,1
13,166,who is the assistant vice presiden of the company which is the lender but not the bookrunners in the agreement,mark pope,3,2,0,Mark Pope,5,1.0,0.0,1.0000000000000002,5
14,166,who is the svp credit administration of the company which is the lender but not the bookrunners in the agreement,r. srinivasa sekaran,3,2,0,R. Srinivasa Sekaran,5,1.0,0.0,1.0000000000000002,5
15,166,who is the general manager of the company which is the lender but not the bookrunners in the agreement,suguru hattori,3,2,0,Suguru Hattori,5,1.0,0.0,1.0000000000000002,5
16,166,who is the chief executive of the company which is the lender but not the lead arrangers in the agreement,rachit bhatia,3,2,0,Rajeev Mohan,5,0.0,0.6923076923076923,0.0,1
17,166,who is the head cbo of the company which is the lender but not the lead arrangers in the agreement,sandeep patnaik,3,2,0,Dipak Gupta,5,0.0,0.8,0.0,1
18,166,who is the chief executive of the company which is the lender but not the bookrunners in the agreement,rachit bhatia,3,2,0,Rajeev Mohan,5,0.0,0.6923076923076923,0.0,1
19,166,who is the head cbo of the company which is the lender but not the bookrunners in the agreement,sandeep patnaik,3,2,0,Dipak Gupta,5,0.0,0.8,0.0,1
20,166,who is the chief executive of the company which is the bookrunners but not the lead arrangers in the agreement,rachit bhatia,3,2,0,Carl Roberts,5,0.0,0.7692307692307693,0.0,1
21,166,who is the head cbo of the company which is the bookrunners but not the lead arrangers in the agreement,sandeep patnaik,3,2,0,Rachit Bhatia,5,0.0,0.7333333333333333,0.0,1
22,166,who is the chief manager of the company which is the lender but not the lead arrangers in the agreement,sudip kumar ghatak,3,2,0,Sanjay Jha,5,0.0,0.7222222222222222,0.0,1
23,166,who is the chief manager of the company which is the lender but not the bookrunners in the agreement,sudip kumar ghatak,3,2,0,Vikashh Mehta,5,0.0,0.7222222222222222,0.0,1
24,166,who is the chief manager of the company which is the bookrunners but not the lead arrangers in the agreement,sudip kumar ghatak,3,2,0,Carl Roberts,5,0.0,0.8333333333333334,0.0,1
48,153,who is the authorized signatory of the company which is the issuing bank but not the administrative agent in the agreement,grace mahood,3,2,0,The authorized signatory of the company which is the issuing bank but not the administrative agent in the agreement is Grace Mahood.,5,0.21052631578947367,0.9083969465648855,0.1534255354252166,5
53,145,who is the director but not vice president of the company where guy major is employed,joseph d. glatt,3,2,0,"Guy Major is a Director at Apollo Credit Master Fund Ltd., but there is no information provided about a Director who is not a Vice President at the company where Guy Major is employed.",5,0.0,0.9337016574585635,0.0,1
54,145,who is the director but not vice president of the company where tammy jennissen is employed,joseph d. glatt,3,2,0,"Tammy Jennissen is a Director at APOLLO C-N CREDIT FUND (DELAWARE), L.P., but there is no information provided about a Director who is not a Vice President at the company where Tammy Jennissen is employed.",5,0.0,0.9447236180904522,0.0,1
65,135,who is the vice president but not treasurer of the company where christine aharonian is employed,sharon s. spurlin,3,2,0,Adam H. Fey,5,0.0,0.8125,0.0,1
66,135,who is the vice president but not treasurer of the company where gabriel juarez is employed,sharon s. spurlin,3,2,0,Michael A. Tribolet,5,0.0,0.7777777777777778,0.0,1
67,135,who is the vice president but not treasurer of the company where john c. lozano is employed,sharon s. spurlin,3,2,0,Andreas Bubenzer-Paim,5,0.0,0.8,0.0,1
68,135,who is the vice president but not treasurer of the company where reginald crichlow is employed,sharon s. spurlin,3,2,0,Nora Taylor,5,0.0,0.8125,0.0,1
69,135,who is the vice president but not treasurer of the company where rosanne parsill is employed,sharon s. spurlin,3,2,0,David Valentine,5,0.0,0.8125,0.0,1
70,135,who is the vice president but not treasurer of the company where david valentine is employed,sharon s. spurlin,3,2,0,Les Werme,5,0.0,0.8125,0.0,1
