document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,"What is the role of EXGEN RENEWABLES IV, LLC in the agreement?",Borrower,1,0,0
17,"What is the role of Constellation DCO Albany Power Holdings, LLC in the agreement?",Grantor,1,0,0
17,"What is the role of EXGEN RENEWABLES IV HOLDING, LLC in the agreement?",Holding,1,0,0
17,"What is the role of Exelon AVSR Holding, LLC in the agreement?",Grantor,1,0,0
17,"What is the role of SolGen Holding, LLC in the agreement?",Grantor,1,0,0
17,"What is the role of Wilmington Trust, National Association in the agreement?","CollateralWilmington Trust, National AssociationAgent",1,0,0
102,"What is the role of DIGIRAD IMAGING SOLUTIONS, INC. in the agreement?",BORROWERS,1,0,0
102,"What is the role of DMS HEALTH TECHNOLOGIES, INC. in the agreement?",BORROWERS,1,0,0
102,"What is the role of DMS IMAGING, INC. in the agreement?",BORROWERS,1,0,0
102,What is the role of MD OFFICE SOLUTIONS in the agreement?,BORROWERS,1,0,0
102,What is the role of PROJECT RENDEZVOUS HOLDING CORPORATION in the agreement?,BORROWERS,1,0,0
102,"What is the role of TELERHYTHMICS, LLC in the agreement?",BORROWERS,1,0,0
116,What is the role of MORGAN STANLEY DIRECT LENDING FUND in the agreement?,THE COMPANY,1,0,0
117,What is the role of COLUMBIA SPORTSWEAR COMPANY in the agreement?,Borrower,1,0,0
117,"What is the role of COLUMBIA SPORTSWEAR COMPANY, in the agreement?",Borrower,1,0,0
117,What is the role of ROYAL BANK OF CANADA in the agreement?,Lender,1,0,0
117,"What is the role of HSBC BANK USA, NATIONAL ASSOCIATION in the agreement?",Lender,1,0,0
103,What is the role of CLAIRE%C2%92S %28GIBRALTAR%29 INTERMEDIATE HOLDINGS LIMITED in the agreement?,Borrower,1,0,0
103,"What is the role of CLAIRE%C2%92S ACCESSORIES SPAIN, S.L. in the agreement?",Guarantor,1,0,0
103,What is the role of CLAIRE%C2%92S ACCESSORIES UK LTD in the agreement?,Guarantor,1,0,0
103,What is the role of CLAIRE%C2%92S EUROPEAN DISTRIBUTION LIMITED in the agreement?,Guarantor,1,0,0
103,What is the role of CLAIRE%C2%92S EUROPEAN SERVICES LIMITED in the agreement?,Guarantor,1,0,0
103,What is the role of CLAIRE%C2%92S FRANCE S.A.S. in the agreement?,Guarantor,1,0,0
103,What is the role of CLAIRE%C2%92S GERMANY GMBH in the agreement?,Borrower,1,0,0
103,What is the role of CLAIRE%C2%92S HOLDINGS S.A. R.L. in the agreement?,Guarantor,1,0,0
103,What is the role of CLAIRE%C2%92S HOLDING GMBH in the agreement?,Guarantor,1,0,0
103,What is the role of CLAIRE%C2%92S LUXEMBOURG S.A. R.L. in the agreement?,Guarantor,1,0,0
103,What is the role of CLAIRE%C2%92S SWITZERLAND GMBH in the agreement?,Guarantor,1,0,0
103,What is the role of CSI LUXEMBOURG S.A. R.L. in the agreement?,Guarantor,1,0,0
103,"What is the role of Botticelli LLCc%2Fo Angelo, Gordon %26 Co., LP in the agreement?",Administrative Agent,1,0,0
103,What is the role of Claire%C2%92s %28Gibraltar%29 Holdings Limited in the agreement?,Borrowers,1,0,0
103,What is the role of Cortland Capital Market Services LLC in the agreement?,Collateral Agent,1,0,0
103,What is the role of CLAIRE%C2%92S FASHION PROPERTY CORP. in the agreement?,Guarantor,1,0,0
16,What is the role of STANDARD OUTDOOR LLC in the agreement?,BORROWER,1,0,0
16,What is the role of STANDARD OUTDOOR SOUTHEAST II LLC in the agreement?,BORROWER,1,0,0
16,What is the role of STANDARD OUTDOOR SOUTHEAST I LLC in the agreement?,BORROWER,1,0,0
16,What is the role of STANDARD OUTDOOR SOUTHWEST LLC in the agreement?,BORROWER,1,0,0
16,What is the role of STANDARD DIVERSIFIED OPPORTUNITIES INC. in the agreement?,BORROWER,1,0,0
14,"What is the role of ANGELO, GORDON ENERGY SERVICER,LLC, in the agreement?",ADMINISTRATIVE AGENT,1,0,0
14,What is the role of Pacific Bora Ltd. in the agreement?,Subsidiary Guarantors,1,0,0
14,"What is the role of Pacific Drilling, Inc. in the agreement?",Subsidiary Guarantors,1,0,0
14,"What is the role of Pacific Drilling, LLC in the agreement?",Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drilling %28Gibraltar%29 Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drilling Finance S.%C3%A0 r.l. in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drilling Holding %28Gibraltar%29 Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drilling Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,"What is the role of Pacific Drilling Operations, Inc. in the agreement?",Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drilling Operations Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drilling VII Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drilling V Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drillship %28Gibraltar%29 Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drillship Nigeria Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Drillship S.%C3%A0 r.l. in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Mistral Ltd. in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Santa Ana %28Gibraltar%29 Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Santa Ana Limited in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Scirocco Ltd. in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Sharav Korl%C3%A1tolt Felel%C3%B6ss%C3%A9g%C5%A9 T%C3%A1rsas%C3%A1g in the agreement?,Subsidiary Guarantors,1,0,0
14,What is the role of Pacific Sharav S.%C3%A0 r.l. in the agreement?,Subsidiary Guarantors,1,0,0
14,"What is the role of AG ENERGY FUNDING, LLC in the agreement?",LENDER,1,0,0
14,"What is the role of PACIFIC DRILLING S.A., in the agreement?",BORROWER,1,0,0
28,"What is the role of COLLEGIUM PHARMACEUTICAL, INC in the agreement?",Borrower,1,0,0
28,What is the role of BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP in the agreement?,Lender,1,0,0
28,What is the role of COLLEGIUM PHARMACEUTICAL INC. in the agreement?,Borrower,1,0,0
28,"What is the role of Pharmakon Advisors, LP in the agreement?",Investment Manager,1,0,0
28,"What is the role of COLLEGIUM PHARMACEUTICAL, INC. in the agreement?",Borrower,1,0,0
28,What is the role of BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP in the agreement?,Lender,1,0,0
28,What is the role of Pepper Hamilton LLP in the agreement?,Borrower,1,0,0
28,What is the role of AKIN GUMP STRAUSS HAUER %26 FELD LLP in the agreement?,Lender,1,0,0
28,What is the role of PHARMAKON ADVISORS LP in the agreement?,Lender,1,0,0
28,"What is the role of Collegium Pharmaceutical, Inc. in the agreement?",Borrower,1,0,0
129,What is the role of Graham Corporation in the agreement?,Borrower,1,0,0
115,"What is the role of ALLIANCE TRADING, INC. in the agreement?",GUARANTORS,1,0,0
115,"What is the role of CYPRESS, INC. in the agreement?",GUARANTORS,1,0,0
115,What is the role of POOLFX SUPPLY LLC in the agreement?,GUARANTORS,1,0,0
115,What is the role of POOL DEVELOPMENT LLC in the agreement?,GUARANTORS,1,0,0
