document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the chief financial officer of digirad imaging solutions inc?,jeffry r keyes,2,0,0
102,Who is the chief financial officer of dms health technologies inc?,jeffry r keyes,2,0,0
102,Who is the chief financial officer of dms imaging inc?,jeffry r keyes,2,0,0
102,Who is the chief financial officer of project rendezvous holding corporation?,jeffry r keyes,2,0,0
102,Who is the chief financial officer of telerhythmics llc?,jeffry r keyes,2,0,0
102,Who is the chief financial officer of digirad corporation?,jeffry r keyes,2,0,0
102,Who is the chief financial officer of md office solutions?,jeffry r keyes,2,0,0
102,Who is the president of md office solutions?,jeffry r keyes,2,0,0
102,Who is the esq of olshan frome wolosky llp?,adam finerman,2,0,0
102,Who is the esq of paul hastings llp?,katherine bell,2,0,0
102,Who is the authorized signatory of wells fargo bank national association?,kathy r plisko,2,0,0
116,Who is the managing director of cibc bank usa?,nicholas jordan,2,0,0
116,Who is the coo of morgan stanley direct lending fund?,orit mizrachi,2,0,0
116,Who is the cfo of morgan stanley direct lending fund?,venu rathi,2,0,0
116,Who is the chief financial officer of morgan stanley direct lending fund?,venugopal rathi,2,0,0
117,Who is the senior vice president of bank of america na?,michael snook,2,0,0
117,Who is the senior vice president of hsbc bank usa national association?,chris burns,2,0,0
117,Who is the executive director of jpmorgan chase bank na?,lynn braun,2,0,0
117,Who is the vice president of royal bank of canada?,kirsten jakobsen,2,0,0
117,Who is the senior vice president of wells fargo bank national association?,dawn mace moore,2,0,0
117,Who is the chief financial officer of columbia sportswear company?,jim a swanson,2,0,0
117,Who is the executive vice president of columbia sportswear company?,jim a swanson,2,0,0
103,Who is the authorized signatory of angelo gordonand co lp?,gavin baiera,2,0,0
103,Who is the director of claires accessories spain sl?,scott huckins,2,0,0
103,Who is the director of claires accessories uk ltd?,scott huckins,2,0,0
103,Who is the director of claires european distribution limited?,scott huckins,2,0,0
103,Who is the director of claires european services limited?,scott huckins,2,0,0
103,Who is the director of claires fashion property corp?,scott huckins,2,0,0
103,Who is the director of claires france sas?,scott huckins,2,0,0
103,Who is the director of claires germany gmbh?,scott huckins,2,0,0
103,Who is the director of claires gibraltar intermediate holdings limited?,scott huckins,2,0,0
103,Who is the director of claires holding gmbh?,stuart brown,2,0,0
103,Who is the director of claires holdings sà rl?,stuart brown,2,0,0
103,Who is the manager of claires luxembourg sa rl?,paul a barker,2,0,0
103,Who is the director of claires switzerland gmbh?,stuart brown,2,0,0
103,Who is the director of csi luxembourg sa rl?,scott huckins,2,0,0
103,Who is the director of claires gibraltar holdings limited?,stephen sernett,2,0,0
103,Who is the associate counsel of cortland capital market services llc?,matthew trybula,2,0,0
16,Who is the senior managing directo of crystal financial spv llc?,christopher a arnold,2,0,0
16,Who is the president of standard outdoor llc?,ian w estus,2,0,0
16,Who is the president of standard outdoor southeast i llc?,ian w estus,2,0,0
16,Who is the president of standard outdoor southeast ii llc?,ian w estus,2,0,0
16,Who is the president of standard outdoor southwest llc?,ian w estus,2,0,0
16,Who is the senior managing director of crystal financial llc?,christopher a arnold,2,0,0
16,Who is the president of standard diversified opportunities inc?,ian w estus,2,0,0
16,Who is the chief executive officer of standard diversified opportunities inc?,ian w estus,2,0,0
14,Who is the authorized person of ag energy funding llc?,todd dittmann,2,0,0
14,Who is the authorized person of angelo gordon energy servicer llc?,todd dittmann,2,0,0
14,Who is the chief financial officer of pacific drilling sa?,james harris,2,0,0
28,Who is the president of collegium securities corporation?,joseph ciaffoni,2,0,0
28,Who is the managing member of biopharma credit investments v master lp?,pedro gonzalez de cosio,2,0,0
28,Who is the ceo of biopharma credit investments v master lp?,pedro gonzalez de cosio,2,0,0
28,Who is the ceo of biopharma credit plc?,pedro gonzalez de cosio,2,0,0
28,Who is the managing member of biopharma credit plc?,pedro gonzalez de cosio,2,0,0
28,Who is the president of collegium pharmaceutical inc?,joseph ciaffoni,2,0,0
28,Who is the chief executive officer of collegium pharmaceutical inc?,joseph ciaffoni,2,0,0
129,Who is the chief financial officer of ghm acquisition corp?,jeffrey glajch,2,0,0
129,Who is the secretary of ghm acquisition corp?,jeffrey glajch,2,0,0
129,Who is the chief financial officer of graham corporation?,jeffrey glajch,2,0,0
129,Who is the authorized officer of jpmorgan chase bank na?,elizabeth a jordan,2,0,0
115,Who is the senior vice president of bank of america na?,adam rose,2,0,0
115,Who is the president of alliance trading inc?,melanie housey hart,2,0,0
115,Who is the secretary of alliance trading inc?,melanie housey hart,2,0,0
115,Who is the secretary of cypress inc?,melanie housey hart,2,0,0
115,Who is the president of cypress inc?,melanie housey hart,2,0,0
115,Who is the treasurer of poolfx supply llc?,melanie housey hart,2,0,0
115,Who is the secretary of poolfx supply llc?,melanie housey hart,2,0,0
115,Who is the assistant secretary of scp international inc?,melanie housey hart,2,0,0
115,Who is the chief accounting officer of scp international inc?,melanie housey hart,2,0,0
115,Who is the chief legal officer of horizon distributors inc?,jennifer m neil,2,0,0
115,Who is the secretary of horizon distributors inc?,jennifer m neil,2,0,0
115,Who is the vice president of horizon distributors inc?,jennifer m neil,2,0,0
115,Who is the vice president of pool corporation?,jennifer m neil,2,0,0
115,Who is the secretary of pool corporation?,jennifer m neil,2,0,0
115,Who is the chief legal officer of pool corporation?,jennifer m neil,2,0,0
115,Who is the secretary of pool development llc?,jennifer m neil,2,0,0
115,Who is the vice president of pool development llc?,jennifer m neil,2,0,0
115,Who is the chief legal officer of pool development llc?,jennifer m neil,2,0,0
115,Who is the vice president of scp distributors llc?,jennifer m neil,2,0,0
115,Who is the secretary of scp distributors llc?,jennifer m neil,2,0,0
115,Who is the chief legal officer of scp distributors llc?,jennifer m neil,2,0,0
115,Who is the chief legal officer of superior pool products llc?,jennifer m neil,2,0,0
115,Who is the secretary of superior pool products llc?,jennifer m neil,2,0,0
115,Who is the vice president of superior pool products llc?,jennifer m neil,2,0,0
101,Who is the ceo of foundation healthcare inc?,stanton m nelson,2,0,0
101,Who is the corporate healthcare banking manager of legacytexas bank?,spencer sockwell,2,0,0
101,Who is the senior vice president of texas capital bank national association?,deborah t purvin,2,0,0
100,Who is the managing director of bank of the west?,lee merkle raymond,2,0,0
100,Who is the senior vice president of bbva compass?,tyler j mei,2,0,0
100,Who is the senior vice president of citizens bank national association?,darran wee,2,0,0
100,Who is the vice president of comerica bank?,mark strzynski,2,0,0
100,Who is the managing director of east west bank?,alexis coyle,2,0,0
100,Who is the relationship manager of fifth third bank?,thomas avery,2,0,0
100,Who is the svp global relationship manager of hsbc bank usa?,christopher m ames,2,0,0
