document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What companies are the Grantor in the agreement?,"Constellation DCO Albany Power Holdings, LLC, ExGen Renewables IV, LLC, Exelon AVSR Holding, LLC, SolGen Holding, LLC",1,0,1
102,What companies are the Borrowers in the agreement?,"DIGIRAD CORPORATION, DIGIRAD IMAGING SOLUTIONS, INC., DMS HEALTH TECHNOLOGIES, INC., DMS IMAGING, INC., MD OFFICE SOLUTIONS, PROJECT RENDEZVOUS HOLDING CORPORATION, TELERHYTHMICS, LLC",1,0,1
117,What companies are the Agent in the agreement?,"BANK OF AMERICA, N.A., JPMORGAN CHASE BANK, N.A., WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,1
117,What companies are the Lender in the agreement?,"BANK OF AMERICA, N.A., HSBC BANK USA, NATIONAL ASSOCIATION, JPMORGAN CHASE BANK, N.A., ROYAL BANK OF CANADA, WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,1
117,What companies are the Bookrunner in the agreement?,"BOFA SECURITIES, INC., JPMORGAN CHASE BANK, N.A.",1,0,1
117,What companies are the Borrower in the agreement?,"COLUMBIA SPORTSWEAR COMPANY, COLUMBIA SPORTSWEAR COMPANY,",1,0,1
117,What companies are the Arranger in the agreement?,"JPMORGAN CHASE BANK, N.A., WELLS FARGO SECURITIES, LLC",1,0,1
103,What companies are the Agent in the agreement?,"BOTTICELLI LLC, CORTLAND CAPITAL MARKET SERVICES LLC",1,0,1
103,What companies are the Borrower in the agreement?,"CLAIRE%C2%92S %28GIBRALTAR%29 INTERMEDIATE HOLDINGS LIMITED, CLAIRE%C2%92S GERMANY GMBH",1,0,1
103,What companies are the Guarantor in the agreement?,"CLAIRE%C2%92S ACCESSORIES SPAIN, S.L., CLAIRE%C2%92S ACCESSORIES UK LTD, CLAIRE%C2%92S EUROPEAN DISTRIBUTION LIMITED, CLAIRE%C2%92S EUROPEAN SERVICES LIMITED, CLAIRE%C2%92S FASHION PROPERTY CORP., CLAIRE%C2%92S FRANCE S.A.S., CLAIRE%C2%92S HOLDING GMBH, CLAIRE%C2%92S HOLDINGS S.A. R.L., CLAIRE%C2%92S LUXEMBOURG S.A. R.L., CLAIRE%C2%92S SWITZERLAND GMBH, CSI LUXEMBOURG S.A. R.L.",1,0,1
16,What companies are the Lender in the agreement?,"CRYSTAL FINANCIAL LLC, CRYSTAL FINANCIAL SPV LLC",1,0,1
16,What companies are the Borrower in the agreement?,"STANDARD DIVERSIFIED OPPORTUNITIES INC., STANDARD OUTDOOR LLC, STANDARD OUTDOOR SOUTHEAST I LLC, STANDARD OUTDOOR SOUTHEAST II LLC, STANDARD OUTDOOR SOUTHWEST LLC",1,0,1
28,What companies are the Borrower in the agreement?,"COLLEGIUM PHARMACEUTICAL INC., COLLEGIUM PHARMACEUTICAL, INC, COLLEGIUM PHARMACEUTICAL, INC., Collegium Pharmaceutical, Inc., Pepper Hamilton LLP",1,0,1
28,What companies are the Lender in the agreement?,"AKIN GUMP STRAUSS HAUER %26 FELD LLP, BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP, BIOPHARMA CREDIT PLC, PHARMAKON ADVISORS LP",1,0,1
28,What companies are the Agent in the agreement?,"Akin Gump Strauss Hauer %26 Feld LLP, BIOPHARMA CREDIT PLC, BioPharma Credit PLC, Pharmakon Advisors LP",1,0,1
115,What companies are the Guarantors in the agreement?,"ALLIANCE TRADING, INC., CYPRESS, INC., HORIZON DISTRIBUTORS, INC., POOL DEVELOPMENT LLC, POOLFX SUPPLY LLC, SCP DISTRIBUTORS LLC, SCP INTERNATIONAL, INC., SPLASH HOLDINGS, INC., SUPERIOR POOL PRODUCTS LLC",1,0,1
101,What companies are the Lender in the agreement?,"LEGACYTEXAS BANK, TEXAS CAPITAL BANK, NATIONAL ASSOCIATION",1,0,1
100,What companies are the Agent in the agreement?,"BANK OF THE WEST, FIFTH THIRD BANK, JPMORGAN CHASE BANK, N.A., MUFG UNION BANK, N.A., SUNTRUST BANK, WELLS FARGO BANK, NATIONAL ASSOCIATION, Wells Fargo Bank, National Association",1,0,1
100,What companies are the Lender in the agreement?,"BANK OF THE WEST, BBVA COMPASS, CITIZENS BANK, NATIONAL ASSOCIATION, COMERICA BANK, EAST WEST BANK, FIFTH THIRD BANK, HSBC BANK USA, JPMORGAN CHASE BANK, MUFG UNION BANK, SUNTRUST BANK, WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,1
100,What companies are the Borrower in the agreement?,"OMNICELL, INC., Omnicell, Inc.",1,0,1
114,What companies are the Guarantors in the agreement?,"SALESLINK MEXICO HOLDING CORP., SOL HOLDINGS, INC",1,0,1
128,What companies are the Joint Bookrunners in the agreement?,"BofA Securities, Inc., JPMorgan Chase Bank, N.A.",1,0,1
128,What companies are the Joint Book Manager in the agreement?,"BofA Securities, Inc., JPMorgan Chase Bank, N.A.",1,0,1
128,What companies are the Joint Lead Arranger in the agreement?,"BofA Securities, Inc., JPMorgan Chase Bank, N.A.",1,0,1
128,What companies are the Joint Lead Bookrunner in the agreement?,"BofA Securities, Inc., JPMorgan Chase Bank, N.A.",1,0,1
128,What companies are the Joint Bookrunner in the agreement?,"BofA Securities, Inc., JPMorgan Chase Bank, N.A.",1,0,1
128,What companies are the Joint Book Runner in the agreement?,"BofA Securities, Inc., JPMorgan Chase Bank, N.A.",1,0,1
128,What companies are the Agent in the agreement?,"Bank of America, N.A., JPMorgan Chase Bank, N.A.",1,0,1
29,What companies are the Guarantors in the agreement?,"Advantage Payroll Services, Inc., Oasis AHR PL, LLC, Oasis Advisory Services, Inc., Oasis Employment Services, Inc., Oasis Outsourcing Contract III, Inc., Oasis Outsourcing TX, Inc., PBS of America, LLC, PBS of Central Florida, LLC, Paychex Administrative Services, LLC, Paychex Business Solutions, LLC, Paychex Holdings, LLC, Paychex Management LLC, Paychex North America Inc., Paychex PEO I, LLC, Paychex PEO II, LLC, Paychex PEO III, LLC, Paychex PEO IV, LLC, Paychex PEO IX, LLC, Paychex PEO V, LLC, Paychex PEO VI, LLC, Paychex PEO VII, LLC, Paychex PEO VIII, LLC, Paychex PEO X, LLC, Paychex of New York LLC, WRI II, Inc.",1,0,1
29,What companies are the Parent in the agreement?,"PAYCHEX, INC, PAYCHEX, INC.",1,0,1
29,What companies are the Borrower in the agreement?,"Nixon Peabody LLP, PAYCHEX ADVANCE LLC, PayChex, Inc., Paychex Advance LLC, Paychex, Inc.",1,0,1
39,What companies are the Borrower in the agreement?,"DUNKIRK SPECIALTY STEEL, LLC, NORTH JACKSON SPECIALTY STEEL, LLC, UNIVERSAL STAINLESS %26 ALLOY PRODUCTS, INC.",1,0,1
39,What companies are the Agent in the agreement?,"BANK OF AMERICA, N.A.,, PNC BANK, NATIONAL ASSOCIATION",1,0,1
39,What companies are the Lender in the agreement?,"BANK OF AMERICA, N.A.,, PNC BANK, NATIONAL ASSOCIATION",1,0,1
11,What companies are the Initial Lender in the agreement?,"BANK OF AMERICA, N.A., BARCLAYS BANK PLC, CITIBANK, N.A., DEUTSCHE BANK AG NEW YORK BRANCH,, GOLDMAN SACHS BANK USA, JPMORGAN CHASE BANK, N.A",1,0,1
