document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,What companies are the Agent but not the Bookrunner in the agreement?,"BANK OF AMERICA, N.A., WELLS FARGO BANK, NATIONAL ASSOCIATION",1,2,1
117,What companies are the Agent but not the Arranger in the agreement?,"BANK OF AMERICA, N.A., WELLS FARGO BANK, NATIONAL ASSOCIATION",1,2,1
117,What companies are the Lender but not the Bookrunner in the agreement?,"BANK OF AMERICA, N.A., HSBC BANK USA, NATIONAL ASSOCIATION, ROYAL BANK OF CANADA, WELLS FARGO BANK, NATIONAL ASSOCIATION",1,2,1
117,What companies are the Lender but not the Arranger in the agreement?,"BANK OF AMERICA, N.A., HSBC BANK USA, NATIONAL ASSOCIATION, ROYAL BANK OF CANADA, WELLS FARGO BANK, NATIONAL ASSOCIATION",1,2,1
28,What companies are the Lender but not the Agent in the agreement?,"AKIN GUMP STRAUSS HAUER %26 FELD LLP, BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP, PHARMAKON ADVISORS LP",1,2,1
100,What companies are the Agent but not the Lender in the agreement?,"BANK OF THE WEST, FIFTH THIRD BANK, JPMORGAN CHASE BANK, N.A., MUFG UNION BANK, N.A., Wells Fargo Bank, National Association",1,2,1
110,What companies are the Arrangers but not the Agent in the agreement?,"BARCLAYS BANK PLC, JPMORGAN CHASE BANK, N.A., MERRILL LYNCH, PIERCE, FENNER %26 SMITH INCORPORATED, THE BANK OF TOKYO-MITSUBISHI UFJ, LTD., WELLS FARGO SECURITIES, LLC",1,2,1
110,What companies are the Bookrunners but not the Agent in the agreement?,"JPMORGAN CHASE BANK, N.A., MERRILL LYNCH, PIERCE, FENNER %26 SMITH INCORPORATED, THE BANK OF TOKYO-MITSUBISHI UFJ, LTD., WELLS FARGO SECURITIES, LLC",1,2,1
139,What companies are the joint lead arrangers but not the joint bookrunners in the agreement?,"Citigroup Global Markets Inc., Pierce",1,2,1
111,What companies are the Arrangers but not the Lender in the agreement?,"SUNTRUST ROBINSON HUMPHREY, INC., WELLS FARGO SECURITIES, LLC",1,2,1
111,What companies are the Bookrunners but not the Lender in the agreement?,"SUNTRUST ROBINSON HUMPHREY, INC., WELLS FARGO SECURITIES, LLC",1,2,1
111,What companies are the Lender but not the Agent in the agreement?,"BARCLAYS BANK PLC, HSBC BANK BERMUDA LIMITED, JPMORGAN CHASE BANK, N.A, NATIONAL AUSTRALIA BANK LIMITED, THE BANK OF NOVA SCOTIA",1,2,1
111,What companies are the Lender but not the Administrative Agent in the agreement?,"BARCLAYS BANK PLC, HSBC BANK BERMUDA LIMITED, JPMORGAN CHASE BANK, N.A, NATIONAL AUSTRALIA BANK LIMITED, SUNTRUST BANK, THE BANK OF NOVA SCOTIA",1,2,1
107,What companies are the Grantor but not the Guarantor in the agreement?,"OCELOT MERGER SUB, INC., OPEN TEXT CANADA LTD.",1,2,1
107,What companies are the Grantor but not the Borrower in the agreement?,"EASYLINK SERVICES INTERNATIONAL CORPORATION, EASYLINK SERVICES USA, INC., OPEN TEXT CANADA LTD., OPEN TEXT CORPORATION, OPEN TEXT HOLDINGS, INC., OPEN TEXT INC., OPEN TEXT ULC, OPEN TEXT USA INC., XPEDITE SYSTEMS, LLC",1,2,1
106,What companies are the Lender but not the Arranger in the agreement?,"CITIBANK, N.A., DEUTSCHE BANK TRUST COMPANY AMERICAS, ROYAL BANK OF CANADA, UBS AG, STAMFORD BRANCH",1,2,1
106,What companies are the Lender but not the Arrangers in the agreement?,"CITIBANK, N.A., DEUTSCHE BANK TRUST COMPANY AMERICAS, ROYAL BANK OF CANADA, UBS AG, STAMFORD BRANCH",1,2,1
106,What companies are the Lender but not the Bookrunner in the agreement?,"CITIBANK, N.A., DEUTSCHE BANK TRUST COMPANY AMERICAS, ROYAL BANK OF CANADA, UBS AG, STAMFORD BRANCH",1,2,1
106,What companies are the Lender but not the Bookrunners in the agreement?,"CITIBANK, N.A., DEUTSCHE BANK TRUST COMPANY AMERICAS, ROYAL BANK OF CANADA, UBS AG, STAMFORD BRANCH",1,2,1
106,What companies are the Lender but not the Agent in the agreement?,"BARCLAYS BANK PLC, CITIBANK, N.A., DEUTSCHE BANK TRUST COMPANY AMERICAS, GOLDMAN SACHS BANK USA, UBS AG, STAMFORD BRANCH",1,2,1
106,What companies are the Arranger but not the Arrangers in the agreement?,"CITIGROUP GLOBAL MARKETS, INC., UBS SECURITIES LLC,",1,2,1
60,What companies are the agents but not the arrangers in the agreement?,"Bank of America, N.A., Fifth Third Bank, National Association, Goldman Sachs Bank USA, JPMorgan Chase Bank, N.A, PNC Bank, National Association, Regions Bank, TD Bank, N.A., Wells Fargo Bank, National Association",1,2,1
60,What companies are the agents but not the joint bookrunners in the agreement?,"Bank of America, N.A., Fifth Third Bank, National Association, Goldman Sachs Bank USA, JPMorgan Chase Bank, N.A, Mizuho Bank, Ltd., PNC Bank, National Association, Regions Bank, TD Bank, N.A., Wells Fargo Bank, National Association",1,2,1
161,What companies are the JOINT-LEAD ARRANGERS but not the Lender in the agreement?,"BMO CAPITAL MARKETS, KEYBANC CAPITAL MARKETS INC., TRUIST SECURITIES, INC.",1,2,1
