document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
17,"what is the location of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found
17,"what is the location of exgen renewables iv, llc","md 21231, 1310 point street, 12th floorbaltimore",1,0,0,Not found
17,"what is the location of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found
17,"what is the location of exelon generation company, llc","dc 20068, 701 ninth street nw, 9th floorwashington",1,0,0,Not found
17,"what is the location of morgan stanley senior funding, inc.","md 21231, 1300 thames street, 4th floorthames street wharfbaltimore",1,0,0,Not found
17,what is the location of simpson thacher bartlett llp,"new york, 425 lexington avenue",1,0,0,Not found
17,"what is the location of wilmington trust, national association",1100 north market streetwilmington delaware 19890,1,0,0,Not found
17,which company is associated with 1100 north market streetwilmington delaware 19890,"wilmington trust, national association",1,0,0,"WILMINGTON TRUST, NATIONAL ASSOCIATION"
17,"which company is associated with 1300 thames street, 4th floorthames street wharfbaltimore, md 21231","inc., morgan stanley senior funding",1,0,0,"MORGAN STANLEY SENIOR FUNDING, INC."
17,"which company is associated with 1310 point street, 12th floorbaltimore, md 21231","llc, exgen renewables iv",1,0,0,"EXGEN RENEWABLES IV, LLC, EXGEN RENEWABLES IV HOLDING, LLC"
17,"which company is associated with 425 lexington avenue, new york, new york 10017",simpson thacher bartlett llp,1,0,0,SIMPSON THACHER & BARTLETT LLP
17,"which company is associated with 701 ninth street nw, 9th floorwashington, dc 20068","llc, exelon generation company",1,0,0,"Exelon Generation Company, LLC"
17,"what type of location is 10 south dearborn street, 49th floorchicago, il 60603",chief executive office,1,0,0,chief executive office
17,"what is the role of exgen renewables iv, llc in the agreement",borrower,1,0,0,"Borrower, Grantor"
17,"what is the role of constellation dco albany power holdings, llc in the agreement",grantor,1,0,0,Project Holdco
17,"what is the role of exgen renewables iv holding, llc in the agreement",holding,1,0,0,Holding
17,"what is the role of exelon avsr holding, llc in the agreement",grantor,1,0,0,Project Holdco
17,"what is the role of solgen holding, llc in the agreement",grantor,1,0,0,Project Holdco
17,"what is the role of wilmington trust, national association in the agreement","national associationagent, collateralwilmington trust",1,0,0,"Collateral Agent, Depositary Bank"
17,what company is the borrower in the agreement,"llc, exgen renewables iv",1,0,0,"EXGEN RENEWABLES IV, LLC"
17,what company is the holding in the agreement,"llc, exgen renewables iv holding",1,0,0,"EXGEN RENEWABLES IV HOLDING, LLC"
17,what company is the lead arranger in the agreement,"inc., morgan stanley senior funding",1,0,0,"MORGAN STANLEY SENIOR FUNDING, INC."
17,what company is the lead bookrunner in the agreement,"inc., morgan stanley senior funding",1,0,0,"MORGAN STANLEY SENIOR FUNDING, INC."
17,what company is the documentation agent in the agreement,"inc., morgan stanley senior funding",1,0,0,"MORGAN STANLEY SENIOR FUNDING, INC."
17,"what company is the syndication agent, in the agreement","inc., morgan stanley senior funding",1,0,0,"MORGAN STANLEY SENIOR FUNDING, INC."
17,what company is the collateral agent in the agreement,"wilmington trust, national association",1,0,0,"WILMINGTON TRUST, NATIONAL ASSOCIATION"
17,what company is the depositary bank in the agreement,"wilmington trust, national association",1,0,0,"WILMINGTON TRUST, NATIONAL ASSOCIATION"
17,what company is the pledgor in the agreement,"llc, exgen renewables iv",1,0,0,"EXGEN RENEWABLES IV HOLDING, LLC, EXGEN RENEWABLES HOLDINGS, LLC"
17,"what company is the collateralwilmington trust, national associationagent in the agreement","wilmington trust, national association",1,0,0,"WILMINGTON TRUST, NATIONAL ASSOCIATION"
102,what is the position of adam finerman,esq.,1,0,0,Esq.
102,what is the position of katherine bell,esq.,1,0,0,Esq.
102,what is the position of kathy r. plisko,authorized signatory,1,0,0,Authorized Signatory
102,in what organization does adam finerman work,paul hastings llp,1,0,0,OLSHAN FROME WOLOSKY LLP
102,in what organization does jeffry r. keyes work,digirad corporation,1,0,0,DIGIRAD CORPORATION
102,in what organization does katherine bell work,paul hastings llp,1,0,0,PAUL HASTINGS LLP
102,in what organization does kathy r. plisko work,"wells fargo bank, national association",1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
102,who is the representative of digirad corporation,jeffry r. keyes,1,0,0,JEFFRY R. KEYES
102,"who is the representative of wells fargo bank, national association",kathy r. plisko,1,0,0,KATHY R. PLISKO
102,what is the location of olshan frome wolosky llp,"ny 10022, 65 east 55th street new york",1,0,0,"65 East 55th Street New York, NY 10022"
102,what is the location of digirad corporation,"ga 30024, suite e suwanee, 1048 industrial court",1,0,0,"1048 Industrial Court, Suite E Suwanee, GA 30024"
102,"what is the location of wells fargo bank, national association","ca 90404, 2450 colorado avenue, suite 3000 westsanta monica",1,0,0,"2450 Colorado Avenue, Suite 3000 West Santa Monica, CA 90404"
102,what is the location of paul hastings llp,"ca 92626, 695 town center drive, 17th floor costa mesa",1,0,0,"695 Town Center Drive, 17th Floor Costa Mesa, CA 92626"
102,"which company is associated with 1048 industrial court, suite e suwanee, ga 30024",digirad corporation,1,0,0,DIGIRAD CORPORATION
102,"which company is associated with 2450 colorado avenue, suite 3000 westsanta monica, ca 90404","wells fargo bank, national association",1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
102,"which company is associated with 65 east 55th street new york, ny 10022",olshan frome wolosky llp,1,0,0,OLSHAN FROME WOLOSKY LLP
102,"which company is associated with 695 town center drive, 17th floor costa mesa, ca 92626",paul hastings llp,1,0,0,PAUL HASTINGS LLP
102,"what is the role of digirad imaging solutions, inc. in the agreement",borrowers,1,0,0,Borrower
