document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What are the roles in the agreement of the company where Jeffry R. Keyes is employed?,"BORROWER, BORROWERS, Borrower",2,0,1
102,What are the roles in the agreement of the company where Kathy R. Plisko is employed?,"Agent, Arranger, Book Runner, Lender, Runner",2,0,1
116,What are the roles in the agreement of the company where Nick Jordan is employed?,"Administrative Agent, Agent, Agent,, Arranger, Lender",2,0,1
116,What are the roles in the agreement of the company where Nicholas Jordan is employed?,"Administrative Agent, Agent, Agent,, Arranger, Lender",2,0,1
116,What are the roles in the agreement of the company where Erica Knight is employed?,"Administrative Agent, Agent, Agent,, Arranger, Lender",2,0,1
117,What are the roles in the agreement of the company where Lynn Braun is employed?,"Administrative Agent, Agent, Arranger, Bookrunner, Lender",2,0,1
16,What are the roles in the agreement of the company where Christopher A. Arnold is employed?,"Lender, Term Agent",2,0,1
129,What are the roles in the agreement of the company where Elizabeth A. Jordan is employed?,"Agent, Issuing Bank",2,0,1
101,What are the roles in the agreement of the company where Stanton M. Nelson is employed?,"BORROWER, Borrower",2,0,1
101,What are the roles in the agreement of the company where Deborah T. Purvin is employed?,"AGENT, Agent, Arranger, L%2FC Issuer, LENDER, Runner",2,0,1
100,What are the roles in the agreement of the company where Min Park is employed?,"Agent, Lender",2,0,1
100,What are the roles in the agreement of the company where Ray Aguilar is employed?,"Agent, Lender",2,0,1
29,What are the roles in the agreement of the company where Lisa Christian is employed?,"Agent, administrative agent, administrative borrower, agent",2,0,1
39,What are the roles in the agreement of the company where James Foley is employed?,"Agent, Lender",2,0,1
39,What are the roles in the agreement of the company where David B. Thayer is employed?,"Agent, Lender",2,0,1
110,What are the roles in the agreement of the company where Dave Katz is employed?,"Arrangers, Bookrunners",2,0,1
110,What are the roles in the agreement of the company where Donna DeMagistris is employed?,"Agent, Arrangers, Bookrunners",2,0,1
111,What are the roles in the agreement of the company where William R. Goley is employed?,"Administrative Agent, Agent, Lender",2,0,1
10,What are the roles in the agreement of the company where Alex Figueroa is employed?,"Administrative Agent, Issuing Bank",2,0,1
10,What are the roles in the agreement of the company where Susan Khokher is employed?,"Administrative Agent, Issuing Bank",2,0,1
38,What are the roles in the agreement of the company where Dave Katz is employed?,"Agent, Lender",2,0,1
107,What are the roles in the agreement of the company where Ritam Bhalla is employed?,"Agent, Arranger, Lender",2,0,1
107,What are the roles in the agreement of the company where Paul McFeeters is employed?,"Grantor, Guarantor",2,0,1
113,What are the roles in the agreement of the company where Sonja K. McClelland is employed?,"BORROWERS, Borrowers",2,0,1
113,What are the roles in the agreement of the company where Michael Doar is employed?,"BORROWERS, Borrowers",2,0,1
112,What are the roles in the agreement of the company where Robert C. Megan is employed?,"Agent, Lender",2,0,1
112,What are the roles in the agreement of the company where Amy U. Lessner is employed?,"Administrative Agent, Agent, Arrangers, Bookrunners, Lender",2,0,1
106,What are the roles in the agreement of the company where Vanessa A. Kurbatskiy is employed?,"Arranger, Arrangers, Bookrunner, Bookrunners, Lender",2,0,1
106,What are the roles in the agreement of the company where Michael Getz is employed?,"Arranger, Arrangers, Bookrunner, Bookrunners, Lender",2,0,1
106,What are the roles in the agreement of the company where Kirkwood Roland is employed?,"Arranger, Arrangers, Bookrunner, Bookrunners, Lender",2,0,1
106,What are the roles in the agreement of the company where Clint C. Freeland is employed?,"Holdings, Intermediate Holdings",2,0,1
106,What are the roles in the agreement of the company where Robert Ehudin is employed?,"Agent, Lender",2,0,1
106,What are the roles in the agreement of the company where Thomas Casey is employed?,"Agent, Lender",2,0,1
106,What are the roles in the agreement of the company where Ann Hurley is employed?,"Agent, Lender",2,0,1
60,What are the roles in the agreement of the company where Anthony Galea is employed?,"agents, documentation agent",2,0,1
