document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
12,Who is both the global treasurer and senior vice president of the company where gráinne kelly is employed?,aidan clare,3,1,0
12,Who is both the global treasurer and senior vice president of the company where sara la berg is employed?,aidan clare,3,1,0
12,Who is both the executive vice president and global chief administrative officer of the company where gráinne kelly is employed?,marco pagni,3,1,0
12,Who is both the executive vice president and global chief administrative officer of the company where sara la berg is employed?,marco pagni,3,1,0
113,Who is both the managing director a and authorized representative and secretary treasurer of the company where michael doar is employed?,sonja k mcclelland,3,1,0
48,Who is both the vice president law and assistant and corporate secretary of the company where jonathan rose is employed?,chris kaitson,3,1,0
89,Who is both the general counsel and vp finance of the company where james pekarek is employed?,lee neumann,3,1,0
89,Who is both the general counsel and vp finance of the company where matthew mccabe is employed?,lee neumann,3,1,0
166,Who is both the authorized signatory and attorney in fact of the company where shannon curran is employed?,chirag shah,3,1,0
155,Who is both the chief financial officer and directors of the company where michael pope is employed?,patrick foley,3,1,0
97,Who is both the authorized signatory and vice president of the company where diana pennington is employed?,dague retzlaff,3,1,0
97,Who is both the authorized signatory and vice president of the company where jeffrey m muchmore is employed?,dague retzlaff,3,1,0
83,Who is both the general counsel and senior vice president of the company where tim leyden is employed?,michael ray,3,1,0
83,Who is both the general counsel and senior vice president of the company where timothy leyden is employed?,michael ray,3,1,0
142,Who is both the principal financial officer and controller of the company where jon a dobson is employed?,nathaniel a brown,3,1,0
52,Who is both the treasurer and vice president of tax of the company where laura stein is employed?,charles r conradi,3,1,0
109,Who is both the ceo and chief executive officer and chairman of the board of the company where denis yevstifeyey is employed?,christopher j spencer,3,1,0
109,Who is both the ceo and chief executive officer and chairman of the board of the company where douglas polinksy is employed?,christopher j spencer,3,1,0
109,Who is both the ceo and chief executive officer and chairman of the board of the company where j gregory smith is employed?,christopher j spencer,3,1,0
109,Who is both the ceo and chief executive officer and chairman of the board of the company where john busshaus is employed?,christopher j spencer,3,1,0
34,Who is both the chief financial officer and executive vice president of the company where rejji p hayes is employed?,cameron m bready,3,1,0
34,Who is both the general counsel and vice president of the company where rejji p hayes is employed?,wendy a mcintyre,3,1,0
26,Who is both the treasurer and senior vice president of the company where katherine kelly is employed?,jeffrey galik,3,1,0
