Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
981,60,"who is the senior vice president and treasurer of leidos holdings, inc.",marc h. crown,2,1,0,Not found
982,60,who is the assistant vice president of the company where harry yergey is employed,caroline smith,3,0,0,Not found
983,60,who is the assistant vice president of the company where michael maguire is employed,caroline smith,3,0,0,Not found
984,60,who is the assistant vice president of the company where patrick hartweger is employed,caroline smith,3,0,0,Not found
985,60,who is the executive director of the company which is the documentation agents in the agreement,anthony galea,3,0,0,Not found
986,60,who is the executive director of the company which is the managing agents in the agreement,anthony galea,3,0,0,Not found
987,60,who is the senior vice president of the company which is the holdings in the agreement,marc h. crown,3,0,0,Not found
988,60,who is the treasurer of the company which is the holdings in the agreement,marc h. crown,3,0,0,Not found
989,60,who is the assistant vice president of the company which is the documentation agents in the agreement,stephanie herndon,3,0,0,Not found
990,60,who is the assistant vice president of the company which is the managing agents in the agreement,stephanie herndon,3,0,0,Not found
991,60,"what role does bank of montreal have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Documentation Agents
992,60,"what role does bofa securities, inc. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Joint Lead Arrangers and Joint Bookrunners
993,60,"what role does citibank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Not found
994,60,"what role does jpmorgan chase bank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Not found
995,60,"what role does mufg bank, ltd. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Not found
996,60,"what role does u.s. bank national association have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Not found
997,60,"what role does wells fargo securities llc have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Not found
998,60,what company is the lead arrangers but not the bookrunners in the agreement,"ltd., mizuho bank",2,1,0,Not found
1149,66,"who is the director and svp of bank of america, n.a.",ronnie glenn,2,1,0,Not found
1150,66,"who is the cfo and treasurer of icu medical, inc.",brian m. bonnell,2,1,0,Not found
1151,66,"who is the cfo and treasurer of exc holding corp.tangent medical technologies, inc.excelsior medical corporationicu world, inc.",brian m. bonnell,2,1,0,Not found
1152,66,who is the svp of the company which is the issuing lender in the agreement,ronnie glenn,3,0,0,Not found
1153,66,who is the svp of the company which is the swingline lender in the agreement,ronnie glenn,3,0,0,Not found
1154,66,who is the svp of the company which is the term loan a lender in the agreement,ronnie glenn,3,0,0,Not found
1155,66,who is the duly authorized signatory of the company which is the issuing lender in the agreement,karen m. dahlquist,3,0,0,Not found
1156,66,who is the duly authorized signatory of the company which is the swingline lender in the agreement,karen m. dahlquist,3,0,0,Not found
1157,66,who is the duly authorized signatory of the company which is the term loan a lender in the agreement,karen m. dahlquist,3,0,0,Not found
1158,66,who is the authorized signer of the company which is the issuing lender in the agreement,james riley,3,0,0,Not found
1159,66,who is the authorized signer of the company which is the swingline lender in the agreement,james riley,3,0,0,Not found
1160,66,who is the authorized signer of the company which is the term loan a lender in the agreement,james riley,3,0,0,Not found
1161,66,who is the authorized signer of the company which is the revolver in the agreement,james riley,3,0,0,Not found
1162,66,who is the cfo of the company which is the borrower in the agreement,brian m. bonnell,3,0,0,Not found
1163,66,who is the treasurer of the company which is the borrower in the agreement,brian m. bonnell,3,0,0,Not found
1164,66,who is the authorized officer of the company which is the issuing lender in the agreement,erik barragan,3,0,0,Not found
1165,66,who is the authorized officer of the company which is the swingline lender in the agreement,erik barragan,3,0,0,Not found
1166,66,who is the authorized officer of the company which is the term loan a lender in the agreement,erik barragan,3,0,0,Not found
1167,66,"what role does bnp paribas securities corp. have in the agreement which is not the role of keybanc capital markets, inc.",syndication agents,2,1,0,joint lead arrangers and joint bookrunners for the Tranche B Term Facility
1168,66,"what role does bnp paribas securities corp. have in the agreement which is not the role of wells fargo securities, llc",syndication agents,2,1,0,Not found
