document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,"what are the roles of morgan stanley senior funding, inc. in the agreement","lead, arranger, bookrunner, syndication agent, documentation agent",1,0,1
17,"what are the roles of wilmington trust, national association in the agreement","depositary bank, collateral agent",1,0,1
17,"what are the roles of exgen renewables iv, llc in the agreement","grantor, pledgor",1,0,1
17,what companies are the grantor in the agreement,"llc, solgen holding, exgen renewables iv, exelon avsr holding, constellation dco albany power holdings",1,0,1
17,what is the role in the agreement of the company associated with 1100 north market street nwilmington delaware 19890,"national associationagent, collateralwilmington trust",2,0,0
17,"what is the chief executive office office of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,0
17,"what is the chief executive office office of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,0
102,what are the positions of jeffry r. keyes,"president, chief financial officer",1,0,1
102,who are the representatives of paul hastings llp,"adam finerman, katherine bell",1,0,1
102,what are the roles of digirad corporation in the agreement,"borrower, administrative",1,0,1
102,"what are the roles of wells fargo bank, national association in the agreement","book, lead, agent, lender, runner, arranger, administrative",1,0,1
102,what companies are the borrowers in the agreement,"llc, inc., dms imaging, telerhythmics, digirad corporation, md office solutions, dms health technologies, digirad imaging solutions, project rendezvous holding corporation",1,0,1
102,what is the position held by both adam finerman and katherine bell,esq.,1,1,0
102,who is the chief financial officer of digirad corporation,jeffry r. keyes,2,0,0
102,who is the president of digirad corporation,jeffry r. keyes,2,0,0
102,"who is the authorized signatory of wells fargo bank, national association",kathy r. plisko,2,0,0
116,who are the representatives of cibc bank usa,"nick jordan, erica knight, nicholas jordan",1,0,1
116,who are the representatives of morgan stanley direct lending fund,"venu rathi, orit mizrachi",1,0,1
116,what are the roles of cibc bank usa in the agreement,"agent, lender, issuing, arranger, administrative",1,0,1
116,what are the locations of cibc bank usa,"illinois 60603, illinois 60602, 70 w. madisonchicago, 120 south lasalle streetchicago",1,0,1
116,who is the chief financial officer of morgan stanley direct lending fund,venugopal rathi,2,0,0
116,who is the coo of morgan stanley direct lending fund,orit mizrachi,2,0,0
116,who is the cfo of morgan stanley direct lending fund,venu rathi,2,0,0
116,who is the managing director of cibc bank usa,nicholas jordan,2,0,0
116,what is the role in the agreement of the company where venugopal rathi is employed,the company,2,0,0
117,what are the positions of jim a. swanson,"chief financial officer, executive vice president",1,0,1
117,"who are the representatives of hsbc bank usa, national association","chris burns, michael snook, dawn mace moore",1,0,1
117,"what are the roles of bank of america, n.a. in the agreement","agent, lender, syndication, administrative",1,0,1
117,"what are the roles of bofa securities, inc. in the agreement",bookrunner,1,0,1
117,"what are the roles of wells fargo bank, national association in the agreement","agent, lender, syndication, administrative",1,0,1
117,"what are the roles of wells fargo securities, llc in the agreement","lead, arranger",1,0,1
117,"what are the roles of jpmorgan chase bank, n.a. in the agreement","lead, agent, lender, issuing, arranger, bookrunner, swing line, syndication, administrative",1,0,1
117,what companies are the lender in the agreement,"n.a., hsbc bank usa, bank of america, wells fargo bank, jpmorgan chase bank, national association, royal bank of canada",1,0,1
117,what companies are the agent in the agreement,"n.a., bank of america, wells fargo bank, jpmorgan chase bank, national association",1,0,1
117,what companies are the bookrunner in the agreement,"inc., n.a., bofa securities, jpmorgan chase bank",1,0,1
117,what companies are the borrower in the agreement,columbia sportswear company,1,0,1
117,what companies are the arranger in the agreement,"llc, n.a., jpmorgan chase bank, wells fargo securities",1,0,1
117,what is the position held by both chris burns and dawn mace moore,senior vice president,1,1,0
117,what is the position held by both chris burns and michael snook,senior vice president,1,1,0
117,what is the position held by both dawn mace moore and michael snook,senior vice president,1,1,0
117,"who is the chief financial officer of columbia sportswear company,",jim a. swanson,2,0,0
117,"who is the executive vice president of columbia sportswear company,",jim a. swanson,2,0,0
117,"who is the executive director of jpmorgan chase bank, n.a.",lynn braun,2,0,0
117,who is the vice president of royal bank of canada,kirsten jakobsen,2,0,0
117,what is the role in the agreement of the company where jim a. swanson is employed,borrower,2,0,0
117,what is the role in the agreement of the company where kirsten jakobsen is employed,lender,2,0,0
117,what is the role in the agreement of the company where dawn mace moore is employed,lender,2,0,0
117,what is the role in the agreement of the company where chris burns is employed,lender,2,0,0
117,what is the role in the agreement of the company where michael snook is employed,lender,2,0,0
103,who are the representatives of claire s fashion property corp.,"stuart brown, scott huckins, stephen sernett",1,0,1
103,what are the roles of botticelli llc in the agreement,"agent, lender, collateral, administrative",1,0,1
103,what are the roles of cortland capital market services llc in the agreement,"agent, collateral, administrative",1,0,1
103,what companies are the agent in the agreement,"botticelli llc, cortland capital market services llc",1,0,1
103,what companies are the borrower in the agreement,"claire s germany gmbh, claire s gibraltar intermediate holdings limited",1,0,1
103,what companies are the guarantor in the agreement,"s.l., claire s holding gmbh, claire s france s.a.s., csi luxembourg s.a. r.l., claire s switzerland gmbh, claire s accessories spain, claire s accessories uk ltd, claire s holdings s.a. r.l., claire s luxembourg s.a. r.l., claire s fashion property corp., claire s european services limited, claire s european distribution limited",1,0,1
103,what is the position held by both scott huckins and stephen sernett,director,1,1,0
103,what is the position held by both scott huckins and stuart brown,director,1,1,0
103,what is the position held by both stephen sernett and stuart brown,director,1,1,0
103,"who is the authorized signatory of angelo, gordon co., l.p.",gavin baiera,2,0,0
103,who is the manager of claire s luxembourg s.a r.l.,paul a. barker,2,0,0
103,who is the associate counsel of cortland capital market services llc,matthew trybula,2,0,0
103,what is the role in the agreement of the company where matthew trybula is employed,agent,2,0,0
103,what is the role in the agreement of the company where stephen sernett is employed,guarantor,2,0,0
103,what is the role in the agreement of the company where scott huckins is employed,guarantor,2,0,0
103,what is the role in the agreement of the company where stuart brown is employed,guarantor,2,0,0
103,"what is the role in the agreement of the company associated with 245 park avenue, 26th floor n nnew york, new york 10167",administrative agent,2,0,0
103,"what is the role in the agreement of the company associated with 3 sw 129th avenue n nsuite 400 n npembroke pines, fl 33027",borrowers,2,0,0
103,"what is the role in the agreement of the company associated with 225 w. washington street, 21st floor n nchicago, il 60606",collateral agent,2,0,0
16,what are the positions of christopher a. arnold,senior managing directo,1,0,1
16,what are the positions of ian w. estus,"president, chief executive officer",1,0,1
16,what are the roles of crystal financial spv llc in the agreement,"term, lender",1,0,1
16,what are the roles of crystal financial llc in the agreement,"term, lender",1,0,1
16,what companies are the lender in the agreement,"crystal financial llc, crystal financial spv llc",1,0,1
16,what companies are the borrower in the agreement,"standard outdoor llc, standard outdoor southwest llc, standard outdoor southeast i llc, standard outdoor southeast ii llc, standard diversified opportunities inc.",1,0,1
16,who is the senior managing directo of crystal financial llc,christopher a. arnold,2,0,0
16,who is the senior managing director of crystal financial llc,christopher a. arnold,2,0,0
16,who is the chief executive officer of standard diversified opportunities inc.,ian w. estus,2,0,0
16,who is the president of standard diversified opportunities inc.,ian w. estus,2,0,0
16,what is the role in the agreement of the company where ian w. estus is employed,borrower,2,0,0
14,"who is the authorized person of ag energy funding, llc",todd dittmann,2,0,0
14,"who is the chief financial officer of pacific drilling s.a.,",james harris,2,0,0
14,what is the role in the agreement of the company where todd dittmann is employed,lender,2,0,0
14,what is the role in the agreement of the company where james harris is employed,borrower,2,0,0
28,what are the positions of joseph ciaffoni,"president, chief executive officer",1,0,1
28,what are the positions of pedro gonzalez de cosio,"ceo, managing member",1,0,1
28,"who are the representatives of collegium pharmaceutical, inc.","paul brannelly, shirley kuhlmann",1,0,1
28,what are the roles of collegium securities corporation in the agreement,"additional, credit party",1,0,1
28,"what are the roles of pharmakon management i, llc in the agreement","general, partner",1,0,1
28,what are the roles of biopharma credit plc in the agreement,"agent, lender, collateral",1,0,1
28,what are the roles of biopharma credit plc in the agreement,"agent, collateral",1,0,1
28,what are the roles of akin gump strauss hauer feld llp in the agreement,"agent, collateral",1,0,1
28,what are the roles of pharmakon advisors lp in the agreement,"agent, collateral",1,0,1
28,what companies are the borrower in the agreement,"inc, pepper hamilton llp, collegium pharmaceutical",1,0,1
