document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Elsa O%C2%92Brien?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Helga Blum?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by James M. Armstrong?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by John C. Rowland?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Joselin Fernandes?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Joshua Freedman?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Joshua Turner?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Kazuhisa Matsuda?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Kirby R. Holman?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Kristy Ahee?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Kyle B. O%C2%92Neill?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Lana Gifas?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Laura Conway?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Mark Costantino?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Megan R. Brearey?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Michael A. Crabtree?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Michael D%C2%92Onofrio?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Michael King?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Ming K. Chu?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Mr. George L. Chapman?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Noam Azachi?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Samuel A. Bluso?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Scott O%C2%92Connell?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Tanya Crossley?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Edward Chen but not by Virginia Cosenza?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Mark Costantino?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Megan R. Brearey?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Michael A. Crabtree?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Michael D%C2%92Onofrio?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Michael King?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Ming K. Chu?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Mr. George L. Chapman?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Noam Azachi?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Samuel A. Bluso?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Scott O%C2%92Connell?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Tanya Crossley?,"General Manager, VP",1,3,1
84,What are the positions held by Chwan-Ming Ho and Li Hua Huang but not by Virginia Cosenza?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Mark Costantino?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Megan R. Brearey?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Michael A. Crabtree?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Michael D%C2%92Onofrio?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Michael King?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Ming K. Chu?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Mr. George L. Chapman?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Noam Azachi?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Samuel A. Bluso?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Scott O%C2%92Connell?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Tanya Crossley?,"General Manager, VP",1,3,1
84,What are the positions held by Edward Chen and Li Hua Huang but not by Virginia Cosenza?,"General Manager, VP",1,3,1
