Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
0,17,"what is the location of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found
1,17,"what is the location of exgen renewables iv, llc","md 21231, 1310 point street, 12th floorbaltimore",1,0,0,"10 South Dearborn Street, 49th Floor, Chicago, IL 60603"
2,17,"what is the location of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,"10 South Dearborn Street, 49th Floor, Chicago, IL 60603"
3,17,"what is the location of exelon generation company, llc","dc 20068, 701 ninth street nw, 9th floorwashington",1,0,0,"1310 Point Street, 12th Floor, Baltimore, MD 21231"
4,17,"what is the location of morgan stanley senior funding, inc.","md 21231, 1300 thames street, 4th floorthames street wharfbaltimore",1,0,0,"425 Lexington Avenue, New York, New York 10017"
5,17,what is the location of simpson thacher bartlett llp,"new york, 425 lexington avenue",1,0,0,"701 Ninth Street NW, 9th FloorWashington, DC 20068"
6,17,"what is the location of wilmington trust, national association",1100 north market streetwilmington delaware 19890,1,0,0,"1100 North Market Street, Wilmington Delaware 19890"
7,17,which company is associated with 1100 north market streetwilmington delaware 19890,"wilmington trust, national association",1,0,0,"Wilmington Trust, National Association"
8,17,"which company is associated with 1300 thames street, 4th floorthames street wharfbaltimore, md 21231","inc., morgan stanley senior funding",1,0,0,Borrower
9,17,"which company is associated with 1310 point street, 12th floorbaltimore, md 21231","llc, exgen renewables iv",1,0,0,Borrower
10,17,"which company is associated with 425 lexington avenue, new york, new york 10017",simpson thacher bartlett llp,1,0,0,"Morgan Stanley Senior Funding, Inc."
11,17,"which company is associated with 701 ninth street nw, 9th floorwashington, dc 20068","llc, exelon generation company",1,0,0,Not found
12,17,"what type of location is 10 south dearborn street, 49th floorchicago, il 60603",chief executive office,1,0,0,Chief Executive Office/ Sole Place of Business or Principal Residence
13,17,"what is the role of exgen renewables iv, llc in the agreement",borrower,1,0,0,Borrower
14,17,"what is the role of constellation dco albany power holdings, llc in the agreement",grantor,1,0,0,Not found
15,17,"what is the role of exgen renewables iv holding, llc in the agreement",holding,1,0,0,"Pledgor, Holding company, owns equity interests in the Borrower"
16,17,"what is the role of exelon avsr holding, llc in the agreement",grantor,1,0,0,"Project Holdco, owns equity interests in AV Solar Ranch 1, LLC"
17,17,"what is the role of solgen holding, llc in the agreement",grantor,1,0,0,"Project Holdco, owns equity interests in SolGen, LLC"
18,17,"what is the role of wilmington trust, national association in the agreement","national associationagent, collateralwilmington trust",1,0,0,"Collateral Agent, Depositary Bank"
19,17,what company is the borrower in the agreement,"llc, exgen renewables iv",1,0,0,Borrower
20,17,what company is the holding in the agreement,"llc, exgen renewables iv holding",1,0,0,Holding
21,17,what company is the lead arranger in the agreement,"inc., morgan stanley senior funding",1,0,0,"Morgan Stanley Senior Funding, Inc."
22,17,what company is the lead bookrunner in the agreement,"inc., morgan stanley senior funding",1,0,0,"Morgan Stanley Senior Funding, Inc."
23,17,what company is the documentation agent in the agreement,"inc., morgan stanley senior funding",1,0,0,Not found
24,17,"what company is the syndication agent, in the agreement","inc., morgan stanley senior funding",1,0,0,Not found
25,17,what company is the collateral agent in the agreement,"wilmington trust, national association",1,0,0,"Wilmington Trust, National Association"
26,17,what company is the depositary bank in the agreement,"wilmington trust, national association",1,0,0,"Wilmington Trust, National Association"
27,17,what company is the pledgor in the agreement,"llc, exgen renewables iv",1,0,0,"ExGen Renewables IV Holding, LLC, ExGen Renewables Holdings, LLC"
28,17,"what company is the collateralwilmington trust, national associationagent in the agreement","wilmington trust, national association",1,0,0,Not found
1292,60,what is the position of anthony galea,executive director,1,0,0,Executive Director
1293,60,what is the position of bernadette collins,senior vice president,1,0,0,Senior Vice President
1294,60,what is the position of caroline smith,assistant vice president,1,0,0,Assistant Vice President
1295,60,what is the position of eric h. williams,senior vice president,1,0,0,Senior Vice President
1296,60,what is the position of greg strauss,director,1,0,0,Director
1297,60,what is the position of harry yergey,managing director,1,0,0,Managing Director
1298,60,what is the position of jason rinne,director,1,0,0,Director
1299,60,what is the position of joshua dearmon,senior vice president,1,0,0,Senior Vice President
1300,60,what is the position of laura dodd,vice president,1,0,0,Vice President
1301,60,what is the position of lukas coleman,vice president,1,0,0,Vice President
1302,60,what is the position of michael maguire,managing director,1,0,0,Managing Director
1303,60,what is the position of michael s. barnett,senior vice president,1,0,0,Senior Vice President
1304,60,what is the position of oscar cortez,director,1,0,0,Director
1305,60,what is the position of patrick hartweger,managing director,1,0,0,Managing Director
1306,60,what is the position of stephanie herndon,assistant vice president,1,0,0,Assistant Vice President
1307,60,what is the position of susan m. olsen,vice president,1,0,0,Vice President
1308,60,what is the position of thor o connell,vice president,1,0,0,Vice President
1309,60,in what organization does anthony galea work,"n.a, jpmorgan chase bank",1,0,0,"JPMORGAN CHASE BANK, N.A."
1310,60,in what organization does bernadette collins work,"capital one, national association",1,0,0,"TD Bank, N.A."
1311,60,in what organization does caroline smith work,bank of the west,1,0,0,Bank of the West
1312,60,in what organization does eric h. williams work,"capital one, national association",1,0,0,"PNC BANK, NATIONAL ASSOCIATION"
1313,60,in what organization does greg strauss work,the bank of nova scotia,1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
1314,60,in what organization does harry yergey work,bank of the west,1,0,0,Bank of the West
1315,60,in what organization does jason rinne work,the bank of nova scotia,1,0,0,THE BANK OF NOVA SCOTIA
1316,60,in what organization does joshua dearmon work,"capital one, national association",1,0,0,"Capital One, National Association"
1317,60,in what organization does laura dodd work,"city national bank, a national banking association",1,0,0,City National Bank
1318,60,in what organization does lukas coleman work,"city national bank, a national banking association",1,0,0,U.S. Bank National Association
1319,60,in what organization does marc h. crown work,"inc., leidos holdings",1,0,0,"LEIDOS HOLDINGS, INC."
1320,60,in what organization does michael maguire work,bank of the west,1,0,0,SUMITOMO MITSUI BANKING CORPORATION
1321,60,in what organization does michael s. barnett work,"capital one, national association",1,0,0,"Fifth Third Bank, National Association"
1322,60,in what organization does oscar cortez work,the bank of nova scotia,1,0,0,"MUFG BANK, LTD."
1323,60,in what organization does patrick hartweger work,bank of the west,1,0,0,Bank of Montreal
1324,60,in what organization does ryan durkin work,"ltd., mizuho bank",1,0,0,GOLDMAN SACHS BANK USA
1325,60,in what organization does stephanie herndon work,regions bank,1,0,0,Regions Bank
1326,60,in what organization does susan m. olsen work,"city national bank, a national banking association",1,0,0,"Citibank, N.A."
1327,60,in what organization does thor o connell work,"city national bank, a national banking association",1,0,0,"Bank of America, N.A."
1328,60,in what organization does tracy rahn work,"ltd., mizuho bank",1,0,0,"Mizuho Bank, Ltd."
1329,60,"who is the representative of jpmorgan chase bank, n.a",anthony galea,1,0,0,Anthony Galea
1330,60,"who is the representative of leidos holdings, inc.",marc h. crown,1,0,0,Marc H. Crown
1331,60,who is the representative of regions bank,stephanie herndon,1,0,0,Stephanie Herndon
1332,60,"what is the role of citibank, n.a. in the agreement",administrative agent,1,0,0,Administrative Agent
1333,60,what is the role of fitch ratings in the agreement,ratings agency,1,0,0,Rating Agency
1334,60,"what is the role of leidos, inc. in the agreement",borrower,1,0,0,Borrower
1335,60,"what is the role of moody s investors service, inc. in the agreement",ratings agency,1,0,0,Rating Agency
1336,60,what is the role of pnc capital markets llc in the agreement,bookrunners,1,0,0,Joint Lead Arranger and Joint Bookrunner
1337,60,"what is the role of leidos holdings, inc. in the agreement",holdings,1,0,0,Guarantor
1338,60,what company is the administrative agent in the agreement,"n.a., citibank",1,0,0,"Citibank, N.A."
1339,60,what company is the borrower in the agreement,"inc., leidos",1,0,0,"Leidos, Inc."
1340,60,what company is the holdings in the agreement,"inc., leidos holdings",1,0,0,"Leidos Holdings, Inc."
1637,66,what is the position of ben snodgrass,vice president,1,0,0,Not found
1638,66,what is the position of bret douglas,senior vice president,1,0,0,Not found
1639,66,what is the position of cecile segovia,director,1,0,0,Not found
1640,66,what is the position of darin mullis,managing director,1,0,0,Not found
1641,66,what is the position of erik barragan,authorized officer,1,0,0,Not found
1642,66,what is the position of erin robinson,managing director,1,0,0,Not found
1643,66,what is the position of james riley,authorized signer,1,0,0,Not found
1644,66,what is the position of joseph d. hricovsky,senior vice president,1,0,0,Not found
1645,66,what is the position of karen m. dahlquist,duly authorized signatory,1,0,0,Not found
1646,66,what is the position of kathryn e. benjamin,senior vice president,1,0,0,Not found
1647,66,what is the position of kevin wood,director,1,0,0,Not found
1648,66,what is the position of kristie li,senior vice president,1,0,0,Not found
1649,66,what is the position of tanille ingle,vice president,1,0,0,Not found
1650,66,what is the position of tom priedeman,senior vice president,1,0,0,Not found
1651,66,in what organization does ben snodgrass work,"keybank, national association",1,0,0,Not found
1652,66,in what organization does bret douglas work,u.s. bank national association,1,0,0,Not found
1653,66,in what organization does cecile segovia work,"ltd., mufg bank",1,0,0,Not found
1654,66,in what organization does darin mullis work,"wells fargo bank, national association",1,0,0,Not found
1655,66,in what organization does erik barragan work,"n.a., jpmorgan chase bank",1,0,0,Not found
1656,66,in what organization does erin robinson work,"wells fargo bank, national association",1,0,0,Not found
1657,66,in what organization does james riley work,citibank n.a.,1,0,0,Not found
1658,66,in what organization does joseph d. hricovsky work,u.s. bank national association,1,0,0,Not found
1659,66,in what organization does karen m. dahlquist work,"capital one, national association",1,0,0,Not found
1660,66,in what organization does kathryn e. benjamin work,u.s. bank national association,1,0,0,Not found
1661,66,in what organization does kevin wood work,"ltd., mufg bank",1,0,0,Not found
1662,66,in what organization does kristie li work,u.s. bank national association,1,0,0,Not found
1663,66,in what organization does ronnie glenn work,"n.a., bank of america",1,0,0,Not found
1664,66,in what organization does tanille ingle work,"keybank, national association",1,0,0,Not found
1665,66,in what organization does tom priedeman work,u.s. bank national association,1,0,0,Not found
1666,66,"who is the representative of bank of america, n.a.",ronnie glenn,1,0,0,Not found
1667,66,"who is the representative of capital one, national association",karen m. dahlquist,1,0,0,Karen M. Dahlquist
1668,66,who is the representative of citibank n.a.,james riley,1,0,0,Not found
1669,66,"who is the representative of icu medical, inc.",brian m. bonnell,1,0,0,"ICU Medical, Inc."
1670,66,"who is the representative of jpmorgan chase bank, n.a.",erik barragan,1,0,0,Not found
1671,66,"who is the representative of exc holding corp.tangent medical technologies, inc.excelsior medical corporationicu world, inc.",brian m. bonnell,1,0,0,Not found
1672,66,what is the role of cahill gordon reindel llp in the agreement,legal counsel,1,0,0,Special counsel to the Agents
1673,66,what is the role of deloitte touche llp in the agreement,legal counsel,1,0,0,Independent public accountants
1674,66,what is the role of keybanc capital markets in the agreement,syndication agents,1,0,0,Joint Lead Arrangers and Joint Bookrunners
1675,66,what is the role of citibank n.a. in the agreement,revolver,1,0,0,Revolver and Term Loan A Lender
1676,66,"what is the role of icu medical, inc. in the agreement",borrower,1,0,0,Borrower
1677,66,what company is the revolver in the agreement,citibank n.a.,1,0,0,"Citibank, N.A."
1678,66,what company is the borrower in the agreement,"inc., icu medical",1,0,0,"ICU Medical, Inc."
