document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.4108946608946609,0.4919769927104639,0.4003502007586165,2.5952380952380953,42
17,0.0,0.8823529411764706,0.0,1.0,2
24,0.2987012987012987,0.5447124061752544,0.2990790305244394,2.227272727272727,22
25,0.4,0.5647058823529412,0.4000000000000001,2.6,5
26,0.6243682870801516,0.38257727233454214,0.6052740691746368,3.1864406779661016,59
27,0.8235294117647058,0.15149705475175765,0.823529411764706,4.294117647058823,17
31,0.1537818906239959,0.6847596806066032,0.14453827717744422,1.6153846153846154,26
45,0.2727272727272727,0.61983444943803,0.2727272727272728,2.090909090909091,22
47,0.3699662395314569,0.5304083809363276,0.34554909636077846,2.4864864864864864,37
49,0.75,0.2062246963562753,0.7500000000000002,4.0,8
51,0.4846153846153846,0.44582763337893294,0.48739207132894297,2.8461538461538463,13
52,0.2529688418577307,0.7102224337551639,0.2470867736032089,2.0,27
53,0.6491228070175439,0.2953388813080883,0.6483570537765149,3.6842105263157894,19
54,0.0,0.8173280423280423,0.0,1.0,6
55,0.0,0.8425348757924223,0.0,1.0,8
56,0.34285714285714286,0.5566824300570431,0.33637837618616245,2.357142857142857,14
57,0.04688644688644689,0.8971766630434139,0.05110352159032274,1.323076923076923,65
58,0.34523809523809523,0.6726833976833977,0.30849676329647596,2.2857142857142856,7
59,0.19047619047619047,0.7442728036990331,0.1747862651550231,2.75,4
60,0.20080153871076883,0.7084859300607425,0.1644039069682129,1.9886363636363635,88
61,0.28541666666666665,0.5985287248800522,0.2743127859332004,2.15625,32
62,0.3466666666666667,0.5674186226214624,0.328903593814394,2.5,10
65,0.14444444444444443,0.6713546314543445,0.14174994203595595,1.5,46
66,0.12211171388386578,0.785536404943939,0.11081042267699535,1.4683544303797469,79
67,0.46153846153846156,0.4313539025077487,0.4615384615384616,3.076923076923077,13
68,0.2880291005291006,0.705655305591177,0.2989008927440889,3.388888888888889,18
69,0.25,0.6225694444444444,0.25000000000000006,2.0,8
70,0.09090909090909091,0.8341496764883861,0.10040002546833872,1.25,8
71,0.8,0.16804915514592933,0.8000000000000002,4.2,10
