document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
47,0.3333333333333333,0.6055555555555555,0.3333333333333334,2.3333333333333335,3
60,0.19467440209425488,0.8531145163821819,0.18053853645215526,1.7887323943661972,71
61,0.0,0.888888888888889,0.0,1.0,5
83,0.25,0.8324468085106383,0.21740200182662467,2.125,8
84,0.0,0.9512820512820512,0.0,1.0,5
107,0.16666666666666666,0.8262361382909328,0.10449184459822237,1.1666666666666667,6
121,0.07499999999999998,0.7406447963800906,0.06569729210330907,1.3,10
135,0.0,0.8125,0.0,1.0,12
139,0.0,0.8969696969696969,0.0,1.0,5
145,0.37333333333333335,0.7467032967032967,0.2960179352383291,2.2,5
153,0.0,0.9090909090909091,0.0,1.0,1
166,0.0,0.8655994687573635,0.0,1.0,15
