Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response
58,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by jpmorgan chase bank, n.a.",documentation agent,1,3,0,senior managing agent
59,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by mufg bank, ltd.",documentation agent,1,3,0,senior managing agent
60,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by pnc capital markets llc",documentation agent,1,3,0,senior managing agent
61,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,senior managing agent
62,60,"what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by jpmorgan chase bank, n.a.",documentation agent,1,3,0,senior managing agent
63,60,"what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by mufg bank, ltd.",documentation agent,1,3,0,senior managing agent
64,60,what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by pnc capital markets llc,documentation agent,1,3,0,senior managing agent
65,60,what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by wells fargo securities llc,documentation agent,1,3,0,senior managing agent
66,60,"what is the role and subrole that bank of montreal and pnc bank, national association share in the agreement that is not held by pnc capital markets llc",documentation agent,1,3,0,senior managing agent
67,60,"what is the role and subrole that bank of montreal and pnc bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,senior managing agent
68,60,"what is the role and subrole that bank of montreal and td bank, n.a. share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,senior managing agent
69,60,what is the role and subrole that bank of montreal and u.s. bank national association share in the agreement that is not held by wells fargo securities llc,documentation agent,1,3,0,senior managing agent
70,60,"what is the role and subrole that bank of montreal and wells fargo bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,senior managing agent
71,60,"what is the role and subrole that u.s. bank national association and wells fargo bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,senior managing agent
76,60,"what company is the documentation agent in the agreement, shared by bank of montreal and u.s. bank national association but not held by wells fargo securities llc",bank of montreal,1,3,0,"Bank of America, N.A."
80,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or citibank, n.a.",documentation agent,1,3,0,senior managing agent
81,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or jpmorgan chase bank, n.a.",documentation agent,1,3,0,senior managing agent
82,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or mufg bank, ltd.",documentation agent,1,3,0,senior managing agent
83,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or pnc capital markets llc",documentation agent,1,3,0,senior managing agent
84,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or wells fargo securities llc",documentation agent,1,3,0,senior managing agent
85,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or jpmorgan chase bank, n.a.",documentation agent,1,3,0,senior managing agent
86,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or mufg bank, ltd.",documentation agent,1,3,0,senior managing agent
87,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or pnc capital markets llc",documentation agent,1,3,0,senior managing agent
88,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or wells fargo securities llc",documentation agent,1,3,0,senior managing agent
89,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by jpmorgan chase bank, n.a. or mufg bank, ltd.",documentation agent,1,3,0,senior managing agent
90,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by jpmorgan chase bank, n.a. or pnc capital markets llc",documentation agent,1,3,0,senior managing agent
91,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by jpmorgan chase bank, n.a. or wells fargo securities llc",documentation agent,1,3,0,senior managing agent
92,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by mufg bank, ltd. or pnc capital markets llc",documentation agent,1,3,0,senior managing agent
93,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by mufg bank, ltd. or wells fargo securities llc",documentation agent,1,3,0,senior managing agent
94,60,what is the role and subrole that bank of montreal holds in the agreement that is not held by pnc capital markets llc or wells fargo securities llc,documentation agent,1,3,0,senior managing agent
125,9,who is the associate of the company which is both the lender and the swing line in the agreement,wei jen yuan,3,1,0,Wei-Jen Yuan
126,9,who is the vice president of the company which is both the lender and the swing line in the agreement,raymond g. dunning,3,1,0,Raymond G. Dunning
127,9,who is the authorised signatory of the company which is both the lender and the swing line in the agreement,brian d. williams,3,1,0,James Disher
228,60,who is both the senior vice president and treasurer of the company which is the holdings in the agreement,marc h. crown,3,1,0,Marc H. Crown
319,9,who is both the chief financial officer and senior vice president of the company where eric searls is employed,mark e. newman,3,1,0,Mark E. Newman
320,9,who is both the chief financial officer and senior vice president of the company where jonathan m. phillips is employed,mark e. newman,3,1,0,Mark E. Newman
